date,year,quarter,period,ipim_terrain,ipim_appartement,ipim_maison,ipim_bati_total,vol_terrain_pct,vol_appartement_pct,vol_maison_pct
2000-01-01,2000,1,2000-Q1,39.891,29.8813,32.2064,30.4626,,,
2000-04-01,2000,2,2000-Q2,39.3959,28.0085,32.9301,29.2389,10.2417,19.6667,8.7081
2000-07-01,2000,3,2000-Q3,40.37,28.7322,37.1992,30.8489,-1.0457,-2.1177,-9.3663
2000-10-01,2000,4,2000-Q4,41.8627,28.2101,34.5499,29.7951,3.5287,1.6097,-1.3646
2001-01-01,2001,1,2001-Q1,38.283,31.1463,31.7731,31.303,0.8047,-5.8524,-6.631
2001-04-01,2001,2,2001-Q2,42.1542,30.6772,34.3201,31.5879,-0.58,-2.4002,-4.2341
2001-07-01,2001,3,2001-Q3,40.8825,28.2073,32.5825,29.3011,0.5071,14.0026,5.786
2001-10-01,2001,4,2001-Q4,42.7314,32.7119,36.7187,33.7136,5.3294,-4.6175,-6.2147
2002-01-01,2002,1,2002-Q1,42.2901,32.5375,36.3388,33.4878,4.0362,17.552,5.8263
2002-04-01,2002,2,2002-Q2,42.3803,35.1141,37.5972,35.7349,-3.7483,-2.826,-7.8814
2002-07-01,2002,3,2002-Q3,43.7602,32.7102,36.3277,33.6146,2.1057,-13.4659,0.4135
2002-10-01,2002,4,2002-Q4,44.62,35.611,40.3957,36.8072,2.3695,14.0074,4.1432
2003-01-01,2003,1,2003-Q1,44.7951,31.0473,36.5037,32.4114,-0.7269,4.5799,-3.1616
2003-04-01,2003,2,2003-Q2,45.6855,33.0898,38.997,34.5666,5.8833,2.3703,-6.9872
2003-07-01,2003,3,2003-Q3,48.4372,32.4637,35.4931,33.2211,1.5965,5.8132,33.2085
2003-10-01,2003,4,2003-Q4,50.8838,32.831,37.2133,33.9266,-1.2809,-5.1289,-13.7065
2004-01-01,2004,1,2004-Q1,48.4348,33.929,37.576,34.8408,-0.5669,3.9856,4.3525
2004-04-01,2004,2,2004-Q2,50.5753,36.5079,41.2705,37.6986,3.2034,0.3578,-4.6136
2004-07-01,2004,3,2004-Q3,50.887,37.3815,37.2037,37.3371,3.9106,3.4966,2.2374
2004-10-01,2004,4,2004-Q4,51.5084,37.5761,40.4476,38.294,-0.5947,-2.8087,7.0122
2005-01-01,2005,1,2005-Q1,54.0778,35.637,37.2702,36.0453,0.4662,-8.7153,0.9325
2005-04-01,2005,2,2005-Q2,51.8817,36.3604,37.4584,36.6349,0.5378,10.9885,7.1166
2005-07-01,2005,3,2005-Q3,52.2419,36.2387,40.9206,37.4092,4.4531,5.769,-4.3874
2005-10-01,2005,4,2005-Q4,55.5775,37.5156,41.3813,38.482,-1.4842,-0.4773,-1.8679
2006-01-01,2006,1,2006-Q1,50.1833,41.319,37.9694,40.4816,6.2558,-1.8726,-7.9599
2006-04-01,2006,2,2006-Q2,51.7861,41.5988,41.0378,41.4585,3.4289,7.8157,15.3585
2006-07-01,2006,3,2006-Q3,55.1942,40.1131,39.2159,39.8888,2.148,6.7314,1.7725
2006-10-01,2006,4,2006-Q4,58.72,43.1947,46.0137,43.8994,-3.2402,-9.2952,-13.7838
2007-01-01,2007,1,2007-Q1,57.2087,39.2658,46.4572,41.0636,0.7283,11.8051,6.5683
2007-04-01,2007,2,2007-Q2,59.8359,40.6925,47.3892,42.3667,-1.0651,-2.1009,-7.016
2007-07-01,2007,3,2007-Q3,60.8461,45.3528,51.1272,46.7964,1.5215,-3.6737,7.3154
2007-10-01,2007,4,2007-Q4,61.8361,50.8492,51.3342,50.9705,-0.9275,1.5036,3.3538
2008-01-01,2008,1,2008-Q1,59.9639,49.181,50.7969,49.585,4.0208,4.6342,8.9242
2008-04-01,2008,2,2008-Q2,65.5551,52.2683,51.6094,52.1036,0.5575,-0.7189,-1.9399
2008-07-01,2008,3,2008-Q3,67.6475,53.3385,55.8241,53.9599,-4.6507,0.5898,-2.5672
2008-10-01,2008,4,2008-Q4,68.1177,54.7036,53.1219,54.3082,2.2282,-3.4915,-3.2295
2009-01-01,2009,1,2009-Q1,68.2219,54.901,61.3992,56.5256,-0.6536,-3.2176,-4.4501
2009-04-01,2009,2,2009-Q2,68.5854,59.118,60.8608,59.5537,1.0664,-1.5657,4.0424
2009-07-01,2009,3,2009-Q3,68.5946,61.9181,60.0463,61.4502,4.099,-0.7809,-0.2317
2009-10-01,2009,4,2009-Q4,69.9975,55.7451,61.8791,57.2786,9.2517,11.8488,3.8532
2010-01-01,2010,1,2010-Q1,70.8059,57.5916,57.9904,57.6913,-0.3724,-1.1877,1.318
2010-04-01,2010,2,2010-Q2,72.7464,64.8619,62.1554,64.1853,-1.2,-0.8885,-5.3666
2010-07-01,2010,3,2010-Q3,75.4951,64.6789,62.7692,64.2015,2.1579,-0.6866,6.5798
2010-10-01,2010,4,2010-Q4,78.4714,64.0153,64.7373,64.1958,-0.0799,1.7902,-0.1479
2011-01-01,2011,1,2011-Q1,72.9541,63.732,61.8035,63.2499,-23.1027,-21.4798,-28.359
2011-04-01,2011,2,2011-Q2,72.9995,71.6022,66.3784,70.2962,33.1549,20.6467,18.0012
2011-07-01,2011,3,2011-Q3,72.6801,69.1124,64.2257,67.8907,1.4236,5.0932,2.3359
2011-10-01,2011,4,2011-Q4,75.4706,71.2766,69.6569,70.8717,5.7304,-1.5018,8.7089
