id,ipim_type,property_type,price,currency,city,municipality,region,surface,rooms,price_per_m2,latitude,longitude,reliability_score,reliability_level,is_outlier,scraped_at,last_updated
0f0a9255-5fb4-43f3-8559-cb2ba124e841,appartement,apartment,600000.0,TND,Ariana,,,500.0,3.0,1200.0,36.80810288730512,10.184881573529989,50.0,GOOD,False,2026-04-15 16:26:02.521918+00,2026-04-15 16:26:02.521918+00
1f57d1a4-8e01-490e-9a73-9a4c6b0bff87,appartement,apartment,350000.0,TND,Tunis,,,120.0,3.0,2916.67,,,50.0,GOOD,False,2026-04-15 12:24:41.701199+00,2026-04-15 12:24:41.701435+00
2419a8c3-eb2b-4f69-ac6d-103265d8cc6d,appartement,apartment,800000.0,TND,Ariana,,,500.0,3.0,1600.0,36.80605477987068,10.174213553078008,50.0,GOOD,False,2026-04-15 16:30:08.029003+00,2026-04-15 16:30:08.029003+00
4986636c-66d6-44c9-940e-22a72e93bd68,appartement,apartment,2000000.0,TND,Gabès,,,1200.0,3.0,1666.67,36.799987284485375,10.172133142981531,50.0,GOOD,False,2026-04-15 16:32:46.033799+00,2026-04-15 16:32:46.033799+00
679f4cd0-71d1-4008-b610-b82da630befb,appartement,apartment,200000.0,TND,Ariana,,,100.0,3.0,2000.0,,,50.0,GOOD,False,2026-04-15 14:52:18.321366+00,2026-04-15 14:52:18.321366+00
75033308-79b7-4e85-a5eb-87990aca1ef9,appartement,apartment,200000.0,TND,Sousse,,,500.0,3.0,400.0,36.59158817910076,10.505138298288578,50.0,GOOD,False,2026-04-15 15:08:11.26374+00,2026-04-15 15:08:11.26374+00
905256f5-04d9-4efe-949e-1d81a8878647,appartement,apartment,800000.0,TND,Ariana,,,500.0,3.0,1600.0,36.80810288730512,10.184881573529989,50.0,GOOD,False,2026-04-15 16:27:33.401227+00,2026-04-15 16:27:33.401227+00
affare:affare_1000,terrain,land,550.0,TND,Bizerte Nord,Bizerte Nord,BIZERTE,1000.0,,0.55,37.2803,9.8205,85.0,HIGH,True,2026-03-27 11:16:21.832237+00,2026-04-09 15:38:07.719401+00
affare:affare_136985,terrain,land,2500.0,TND,Sfax Ville,Sfax Ville,SFAX,661.0,7.0,3.78,34.7406,10.76,90.0,HIGH,True,2026-03-27 11:14:57.776841+00,2026-04-09 15:38:07.923627+00
affare:affare_146110,terrain,land,2500.0,TND,Sfax Ville,Sfax Ville,SFAX,660.0,,3.79,34.7406,10.76,80.0,GOOD,True,2026-03-27 11:14:40.395781+00,2026-04-09 15:38:08.829297+00
affare:affare_164918,terrain,land,1500.0,TND,Bir Mchergua,Zaghouan,ZAGHOUAN,,,,36.4025,10.1431,45.0,LOW,True,2026-03-27 00:38:38.690187+00,2026-04-09 15:38:08.07932+00
affare:affare_195701,maison,villa,1290.0,TND,,,,430.0,3.0,,33.8439408,9.400138,,,False,2026-04-09 09:23:04.401719+00,2026-04-09 15:38:08.478567+00
affare:affare_220450,terrain,land,155000.0,TND,Bir Mchergua,Zaghouan,ZAGHOUAN,,,,36.4025,10.1431,60.0,GOOD,False,2026-03-27 00:39:17.551397+00,2026-04-09 15:38:06.238835+00
