zone,n_obs,zone_coef,zone_coef_se,pval,zone_index,premium_pct,price_m2_hedonique,is_ref,ipim_type
Berges du Lac,11,0.2771755697099739,0.10891171545535414,0.0114679258389211,1.3193979970247878,31.939799702478776,6760.603691239851,False,appartement
Jardins de Carthage,38,0.0,0.0,1.0,1.0,0.0,5124.0063320429945,True,appartement
Gammarth,6,-0.15584494731014953,0.13990694568664164,0.2662728150670743,0.8556918574097366,-14.430814259026336,4384.570495645117,False,appartement
Chotrana 1,5,-0.22801962665756337,0.15290700762457946,0.13703067938124536,0.7961086347305628,-20.38913652694372,4079.265685353509,False,appartement
El Kantaoui,14,-0.3087333425615746,0.10183803844767679,0.0026610990445235087,0.7343765708944585,-26.56234291055415,3762.9501993672293,False,appartement
Chott Meriem,8,-0.3179939784373209,0.12641857748208793,0.012451600137576457,0.7276071697335825,-27.239283026641747,3728.2637449547556,False,appartement
Ain Zaghouan,24,-0.34346430755354396,0.08449242076269856,6.251087047721498e-05,0.7093087976588971,-29.06912023411029,3634.5027705779903,False,appartement
La Soukra,29,-0.36090490060083563,0.07854547184105731,6.565711869773522e-06,0.6970452839026597,-30.295471609734026,3571.664448437933,False,appartement
Nabeul,19,-0.4336140087782192,0.0901454497709134,2.4713164299338887e-06,0.6481623922006347,-35.183760779936534,3321.1882018281863,False,appartement
Hammamet,19,-0.5536436685231078,0.08932297209489466,2.0460082776273286e-09,0.5748514217548554,-42.514857824514465,2945.5423250557956,False,appartement
Ennasr 2,29,-0.5560755639377544,0.07837995431814745,1.071571881787528e-11,0.5734551417098528,-42.65448582901472,2938.3877772638966,False,appartement
Riadh Al Andalous,7,-0.5701092471442502,0.13149880627893637,2.0333138486410643e-05,0.5654636600349912,-43.45363399650088,2897.439374559501,False,appartement
El Aouina,28,-0.6722244661638384,0.07969962072529416,1.8153007712658295e-15,0.5105715644621965,-48.94284355378035,2616.1719292653934,False,appartement
El Menzah,7,-0.7105679425876512,0.1307661617035371,1.202567084104861e-07,0.4913650510603234,-50.86349489396766,2517.7576329777253,False,appartement
Ariana,8,-0.7151242084299803,0.12447147564493198,2.3983869706834763e-08,0.48913135378557326,-51.08686462144267,2506.3121539980393,False,appartement
Ezzahra,8,-0.7987990562831806,0.12389128018753084,4.986476047422721e-10,0.4498689070691158,-55.01310929308843,2305.1311284114126,False,appartement
Hammam Sousse,13,-0.8830112646734442,0.10417864161382406,1.3681170048183961e-15,0.41353576923287977,-58.64642307671202,2118.9599000755475,False,appartement
Sousse,5,-1.1280171405548374,0.15201714868460037,1.4150489814460482e-12,0.32367442142581904,-67.63255785741809,1658.50978490625,False,appartement
El Mourouj,22,-1.2653443452275992,0.08688140872021624,3.9924271992133675e-36,0.28214212511700565,-71.78578748829943,1445.6980356356025,False,appartement
Jardins de Carthage,5,1.0879624096606595,0.23019310533766096,8.970146570495514e-06,2.9682198905123225,196.82198905123224,5387.2763749988435,False,maison
Ain Zaghouan,5,0.6789374876289054,0.23389062050004802,0.004710041428000863,1.9717815765138165,97.17815765138165,3578.755178403368,False,maison
La Soukra,14,0.5885793670727854,0.16066643081154067,0.000432010578275004,1.801427429595722,80.1427429595722,3269.5648539235585,False,maison
El Menzah,8,0.3515852467531103,0.21890864113304342,0.1119647866281869,1.4213189048232129,42.13189048232129,2579.6733529643234,False,maison
El Mourouj,8,0.22376143345300847,0.1905807065646452,0.2436327694413263,1.2507725913341114,25.077259133411147,2270.134248924292,False,maison
Hammamet,39,0.0,0.0,1.0,1.0,0.0,1814.9856054192069,True,maison
Borj Cedria,7,-0.2767052385750036,0.19500813228874736,0.15957247236401384,0.7582779752690537,-24.17220247309463,1376.2636100197547,False,maison
Hammam Sousse,5,-0.3710318451162027,0.2253196361659552,0.10331406994896701,0.6900219673791721,-30.99780326208279,1252.3799382162385,False,maison
Raoued,5,-0.5824021040366509,0.24233399192853866,0.01842276935541869,0.5585550464821829,-44.14449535178171,1013.7693691994175,False,maison
El Menzah,14,1.6783899514977698,0.37619598733953796,1.0976764536416195e-05,5.356924116484018,435.69241164840184,3679.3635237506605,False,terrain
Ennasr 2,7,0.9200803008766649,0.4163795962715823,0.027769917310046945,2.509491896244875,150.9491896244875,1723.6258616729258,False,terrain
Chotrana 3,5,0.8382734627842802,0.48342619444190865,0.08379153540787071,2.312371133469119,131.2371133469119,1588.2349305041907,False,terrain
La Soukra,20,0.8056295835766923,0.26542692060668177,0.0025830281012729863,2.2381051295805565,123.81051295805565,1537.2258775811788,False,terrain
