ipim_type,zone,n_obs,zone_index,premium_pct,year,prix_m2,prix_m2_low,prix_m2_high,valeur_100m2,valeur_low,valeur_high
appartement,Berges du Lac,11,1.3194,31.9,2026,4076.1,3771.7,4380.5,407609.0,377169.0,438049.0
appartement,Berges du Lac,11,1.3194,31.9,2027,4253.5,3887.5,4619.6,425354.0,388750.0,461959.0
appartement,Berges du Lac,11,1.3194,31.9,2028,4431.0,3999.0,4863.0,443100.0,399900.0,486300.0
appartement,Berges du Lac,11,1.3194,31.9,2029,4608.5,4106.5,5110.4,460845.0,410651.0,511040.0
appartement,Berges du Lac,11,1.3194,31.9,2030,4785.9,4210.3,5361.5,478591.0,421028.0,536154.0
appartement,Berges du Lac,11,1.3194,31.9,2031,4963.4,4310.5,5616.2,496336.0,431051.0,561621.0
appartement,Berges du Lac,11,1.3194,31.9,2032,5140.8,4407.4,5874.2,514081.0,440738.0,587425.0
appartement,Jardins de Carthage,38,1.0,0.0,2026,3089.4,2858.6,3320.1,308936.0,285865.0,332007.0
appartement,Jardins de Carthage,38,1.0,0.0,2027,3223.9,2946.4,3501.3,322385.0,294642.0,350129.0
appartement,Jardins de Carthage,38,1.0,0.0,2028,3358.3,3030.9,3685.8,335835.0,303092.0,368577.0
appartement,Jardins de Carthage,38,1.0,0.0,2029,3492.8,3112.4,3873.3,349284.0,311241.0,387328.0
appartement,Jardins de Carthage,38,1.0,0.0,2030,3627.3,3191.1,4063.6,362734.0,319106.0,406362.0
appartement,Jardins de Carthage,38,1.0,0.0,2031,3761.8,3267.0,4256.6,376184.0,326703.0,425665.0
appartement,Jardins de Carthage,38,1.0,0.0,2032,3896.3,3340.4,4452.2,389633.0,334045.0,445222.0
appartement,Gammarth,6,0.8557,-14.4,2026,2643.5,2446.1,2841.0,264354.0,244612.0,284095.0
appartement,Gammarth,6,0.8557,-14.4,2027,2758.6,2521.2,2996.0,275862.0,252123.0,299602.0
appartement,Gammarth,6,0.8557,-14.4,2028,2873.7,2593.5,3153.9,287371.0,259354.0,315388.0
appartement,Gammarth,6,0.8557,-14.4,2029,2988.8,2663.3,3314.3,298880.0,266326.0,331433.0
appartement,Gammarth,6,0.8557,-14.4,2030,3103.9,2730.6,3477.2,310389.0,273056.0,347721.0
appartement,Gammarth,6,0.8557,-14.4,2031,3219.0,2795.6,3642.4,321897.0,279557.0,364238.0
