zone,ipim_type,n_obs,zone_index,premium_pct,prix_m2_2026,prix_m2_2027,prix_m2_2028,prix_m2_2029,prix_m2_2030,prix_m2_2031,prix_m2_2032,prix_m2_high_2026,prix_m2_high_2027,prix_m2_high_2028,prix_m2_high_2029,prix_m2_high_2030,prix_m2_high_2031,prix_m2_high_2032,prix_m2_low_2026,prix_m2_low_2027,prix_m2_low_2028,prix_m2_low_2029,prix_m2_low_2030,prix_m2_low_2031,prix_m2_low_2032
Ain Zaghouan,appartement,24,0.7093,-29.1,2191.3,2286.7,2382.1,2477.5,2572.9,2668.3,2763.7,2355.0,2483.5,2614.4,2747.4,2882.4,3019.3,3158.0,2027.7,2089.9,2149.9,2207.7,2263.4,2317.3,2369.4
Ain Zaghouan,maison,5,1.9718,97.2,3936.1,4132.1,4327.6,4523.2,4718.9,4914.5,5110.1,4335.1,4626.0,4922.7,5225.2,5533.2,5846.4,6164.7,3537.1,3638.1,3732.5,3821.3,3904.6,3982.6,4055.6
Akouda,terrain,15,1.0624,6.2,932.4,979.0,1025.4,1071.8,1118.3,1164.7,1211.2,1003.4,1069.9,1137.8,1207.1,1277.7,1349.5,1422.5,861.5,888.0,913.0,936.6,958.9,980.0,999.8
Ariana,appartement,8,0.4891,-51.1,1511.1,1576.9,1642.7,1708.5,1774.2,1840.0,1905.8,1623.9,1712.6,1802.8,1894.5,1987.6,2082.1,2177.7,1398.3,1441.2,1482.5,1522.4,1560.8,1598.0,1633.9
Ariana,terrain,11,1.0409,4.1,913.5,959.1,1004.6,1050.1,1095.6,1141.1,1186.6,983.0,1048.2,1114.7,1182.6,1251.7,1322.1,1393.6,844.0,870.0,894.5,917.6,939.4,960.1,979.5
Berges du Lac,appartement,11,1.3194,31.9,4076.1,4253.5,4431.0,4608.5,4785.9,4963.4,5140.8,4380.5,4619.6,4863.0,5110.4,5361.5,5616.2,5874.2,3771.7,3887.5,3999.0,4106.5,4210.3,4310.5,4407.4
Borj Cedria,maison,7,0.7583,-24.2,1513.7,1589.0,1664.2,1739.5,1814.7,1889.9,1965.2,1667.1,1779.0,1893.1,2009.4,2127.9,2248.3,2370.7,1360.2,1399.1,1435.4,1469.5,1501.6,1531.6,1559.6
Borj Cedria,terrain,20,0.8676,-13.2,761.5,799.5,837.4,875.3,913.3,951.2,989.1,819.4,873.8,929.2,985.8,1043.4,1102.1,1161.7,703.5,725.2,745.6,764.9,783.1,800.3,816.5
Borj Louzir,terrain,5,0.99,-1.0,868.9,912.3,955.5,998.8,1042.1,1085.4,1128.6,935.0,997.0,1060.3,1124.8,1190.6,1257.5,1325.6,802.8,827.5,850.8,872.8,893.6,913.2,931.7
Borj Touil,terrain,9,1.0196,2.0,894.8,939.5,984.0,1028.6,1073.2,1117.7,1162.3,962.9,1026.8,1091.9,1158.4,1226.1,1295.1,1365.1,826.8,852.2,876.2,898.8,920.2,940.4,959.5
Borj Youssef,terrain,5,0.9371,-6.3,822.5,863.5,904.5,945.4,986.4,1027.3,1068.3,885.1,943.7,1003.6,1064.7,1127.0,1190.3,1254.7,759.9,783.3,805.3,826.1,845.8,864.4,881.9
Boumhel,terrain,11,1.0586,5.9,929.1,975.5,1021.7,1068.0,1114.3,1160.5,1206.8,999.8,1066.1,1133.7,1202.8,1273.1,1344.7,1417.4,858.4,884.8,909.7,933.3,955.5,976.4,996.2
Chotrana 1,appartement,5,0.7961,-20.4,2459.5,2566.5,2673.6,2780.7,2887.8,2994.8,3101.9,2643.1,2787.4,2934.3,3083.6,3235.1,3388.8,3544.4,2275.8,2345.7,2412.9,2477.8,2540.4,2600.9,2659.4
Chotrana 3,terrain,5,2.3124,131.2,2029.5,2130.7,2231.8,2332.8,2433.9,2535.0,2636.1,2183.9,2328.7,2476.4,2627.2,2780.8,2937.1,3096.1,1875.0,1932.8,1987.1,2038.5,2087.0,2132.9,2176.1
Chott Meriem,appartement,8,0.7276,-27.2,2247.8,2345.7,2443.6,2541.4,2639.3,2737.1,2835.0,2415.7,2547.6,2681.8,2818.2,2956.7,3097.2,3239.5,2080.0,2143.8,2205.3,2264.6,2321.8,2377.1,2430.5
Chott Meriem,terrain,32,0.9348,-6.5,820.5,861.4,902.2,943.1,984.0,1024.8,1065.7,882.9,941.4,1001.2,1062.1,1124.2,1187.4,1251.7,758.0,781.4,803.3,824.1,843.7,862.3,879.7
Cite El Ghazala 1,terrain,5,1.8501,85.0,1623.8,1704.8,1785.6,1866.5,1947.4,2028.2,2109.1,1747.3,1863.2,1981.4,2102.0,2224.9,2350.0,2477.2,1500.2,1546.4,1589.9,1631.0,1669.8,1706.5,1741.1
Cite Touristique,terrain,9,1.0828,8.3,950.3,997.7,1045.0,1092.3,1139.7,1187.0,1234.3,1022.6,1090.4,1159.6,1230.2,1302.1,1375.3,1449.7,878.0,905.0,930.5,954.5,977.3,998.7,1018.9
Dar Allouche,terrain,5,0.2774,-72.3,243.4,255.6,267.7,279.8,292.0,304.1,316.2,262.0,279.3,297.1,315.1,333.6,352.3,371.4,224.9,231.8,238.4,244.5,250.3,255.8,261.0
El Aouina,appartement,28,0.5106,-48.9,1577.3,1646.0,1714.7,1783.3,1852.0,1920.7,1989.4,1695.1,1787.7,1881.9,1977.6,2074.8,2173.3,2273.2,1459.5,1504.4,1547.5,1589.1,1629.3,1668.1,1705.5
El Haouaria,terrain,6,0.76,-24.0,667.0,700.3,733.5,766.7,799.9,833.1,866.4,717.8,765.3,813.9,863.4,913.9,965.3,1017.6,616.2,635.2,653.1,670.0,685.9,701.0,715.2
El Kantaoui,appartement,14,0.7344,-26.6,2268.8,2367.5,2466.3,2565.1,2663.8,2762.6,2861.4,2438.2,2571.3,2706.7,2844.4,2984.2,3126.0,3269.6,2099.3,2163.8,2225.8,2285.7,2343.4,2399.2,2453.1
El Kantaoui,terrain,7,1.4037,40.4,1232.0,1293.5,1354.8,1416.2,1477.5,1538.9,1600.2,1325.7,1413.6,1503.3,1594.8,1688.1,1783.0,1879.5,1138.2,1173.3,1206.3,1237.5,1266.9,1294.8,1321.0
El Menzah,appartement,7,0.4914,-50.9,1518.0,1584.1,1650.2,1716.3,1782.3,1848.4,1914.5,1631.4,1720.4,1811.1,1903.2,1996.7,2091.6,2187.7,1404.6,1447.8,1489.3,1529.3,1568.0,1605.3,1641.4
El Menzah,maison,8,1.4213,42.1,2837.3,2978.5,3119.5,3260.5,3401.5,3542.5,3683.5,3124.9,3334.6,3548.4,3766.5,3988.5,4214.3,4443.7,2549.6,2622.5,2690.5,2754.5,2814.5,2870.8,2923.4
El Menzah,terrain,14,5.3569,435.7,4701.5,4936.1,5170.2,5404.3,5638.5,5872.6,6106.8,5059.3,5394.7,5737.0,6086.2,6442.1,6804.2,7172.5,4343.7,4477.5,4603.4,4722.5,4834.9,4941.1,5041.1
El Mourouj,appartement,22,0.2821,-71.8,871.6,909.6,947.5,985.5,1023.4,1061.4,1099.3,936.7,987.9,1039.9,1092.8,1146.5,1201.0,1256.2,806.5,831.3,855.2,878.1,900.3,921.8,942.5
El Mourouj,maison,8,1.2508,25.1,2496.8,2621.1,2745.2,2869.3,2993.4,3117.4,3241.5,2749.9,2934.4,3122.7,3314.5,3509.9,3708.6,3910.5,2243.7,2307.8,2367.7,2424.0,2476.8,2526.3,2572.6
El Mourouj,terrain,5,0.766,-23.4,672.3,705.8,739.3,772.8,806.3,839.7,873.2,723.4,771.4,820.3,870.3,921.2,972.9,1025.6,621.1,640.2,658.3,675.3,691.4,706.5,720.8
Ennasr 2,appartement,29,0.5735,-42.7,1771.6,1848.7,1925.9,2003.0,2080.1,2157.2,2234.4,1903.9,2007.8,2113.6,2221.2,2330.3,2441.0,2553.1,1639.3,1689.6,1738.1,1784.8,1829.9,1873.5,1915.6
Ennasr 2,terrain,7,2.5095,150.9,2202.5,2312.4,2422.0,2531.7,2641.4,2751.1,2860.8,2370.0,2527.2,2687.5,2851.1,3017.8,3187.5,3360.0,2034.9,2097.5,2156.5,2212.3,2265.0,2314.7,2361.6
Ezzahra,appartement,8,0.4499,-55.0,1389.8,1450.3,1510.8,1571.3,1631.8,1692.3,1752.8,1493.6,1575.1,1658.1,1742.5,1828.1,1914.9,2002.9,1286.0,1325.5,1363.5,1400.2,1435.6,1469.7,1502.8
Gammarth,appartement,6,0.8557,-14.4,2643.5,2758.6,2873.7,2988.8,3103.9,3219.0,3334.1,2841.0,2996.0,3153.9,3314.3,3477.2,3642.4,3809.7,2446.1,2521.2,2593.5,2663.3,2730.6,2795.6,2858.4
Hammam Sousse,appartement,13,0.4135,-58.6,1277.6,1333.2,1388.8,1444.4,1500.0,1555.7,1611.3,1373.0,1447.9,1524.2,1601.7,1680.5,1760.3,1841.2,1182.2,1218.4,1253.4,1287.1,1319.6,1351.0,1381.4
Hammam Sousse,maison,5,0.69,-31.0,1377.4,1446.0,1514.4,1582.9,1651.4,1719.8,1788.3,1517.1,1618.9,1722.7,1828.5,1936.3,2045.9,2157.3,1237.8,1273.1,1306.2,1337.3,1366.4,1393.7,1419.2
Hammam Sousse,terrain,20,1.4367,43.7,1260.9,1323.9,1386.6,1449.4,1512.2,1575.0,1637.8,1356.9,1446.9,1538.6,1632.3,1727.8,1824.9,1923.6,1165.0,1200.9,1234.6,1266.6,1296.7,1325.2,1352.0
Hammamet,appartement,19,0.5749,-42.5,1775.9,1853.2,1930.6,2007.9,2085.2,2162.5,2239.8,1908.5,2012.7,2118.8,2226.6,2336.0,2446.9,2559.4,1643.3,1693.8,1742.3,1789.2,1834.4,1878.1,1920.3
Hammamet,maison,39,1.0,0.0,1996.2,2095.6,2194.8,2294.0,2393.2,2492.4,2591.6,2198.6,2346.1,2496.6,2650.0,2806.2,2965.0,3126.5,1793.9,1845.1,1893.0,1938.0,1980.2,2019.8,2056.8
Hammamet,terrain,72,1.0,0.0,877.6,921.4,965.1,1008.9,1052.6,1096.3,1140.0,944.4,1007.1,1070.9,1136.1,1202.6,1270.2,1338.9,810.9,835.8,859.3,881.6,902.6,922.4,941.0
Hergla,terrain,9,1.2044,20.4,1057.0,1109.8,1162.4,1215.0,1267.7,1320.3,1372.9,1137.4,1212.9,1289.8,1368.3,1448.3,1529.7,1612.5,976.6,1006.6,1035.0,1061.7,1087.0,1110.9,1133.4
Jardins de Carthage,appartement,38,1.0,0.0,3089.4,3223.9,3358.3,3492.8,3627.3,3761.8,3896.3,3320.1,3501.3,3685.8,3873.3,4063.6,4256.6,4452.2,2858.6,2946.4,3030.9,3112.4,3191.1,3267.0,3340.4
Jardins de Carthage,maison,5,2.9682,196.8,5925.2,6220.2,6514.6,6809.1,7103.5,7398.0,7692.5,6525.8,6963.7,7410.4,7865.7,8329.3,8800.9,9280.0,5324.5,5476.6,5618.7,5752.4,5877.8,5995.2,6105.0
Kalaa El Kebira,terrain,10,1.4259,42.6,1251.4,1313.9,1376.2,1438.5,1500.8,1563.1,1625.5,1346.6,1435.9,1527.0,1620.0,1714.7,1811.1,1909.1,1156.2,1191.8,1225.3,1257.0,1286.9,1315.2,1341.8
Kalaa Essghira,terrain,9,0.0683,-93.2,60.0,63.0,65.9,68.9,71.9,74.9,77.9,64.5,68.8,73.2,77.6,82.2,86.8,91.5,55.4,57.1,58.7,60.2,61.7,63.0,64.3
La Manouba,terrain,9,0.7987,-20.1,701.0,736.0,770.8,805.8,840.7,875.6,910.5,754.3,804.3,855.4,907.4,960.5,1014.5,1069.4,647.6,667.6,686.3,704.1,720.9,736.7,751.6
