date,forecast,lower_ci,upper_ci
2026-01-01,11286.041749405826,11109.066061455444,11334.715966287196
2026-02-01,11247.080415241502,11139.20434995726,11390.670206678
2026-03-01,11384.455032916232,11175.032433474853,11426.579415205788
2026-04-01,11533.162681275691,11210.69383801022,11462.232282996383
2026-05-01,11341.88314627884,11246.355359221976,11497.892846827908
2026-06-01,11377.50078488501,11281.970861600958,11533.508380943413
2026-07-01,11647.260702500287,11317.536276165407,11569.073805728469
2026-08-01,11577.934901325567,11353.051782503328,11604.589312343018
2026-09-01,11453.653476919828,11388.517426023272,11640.05495578842
2026-10-01,11619.773714273178,11423.933207614997,11675.470737373782
2026-11-01,11525.217400990647,11459.299126928348,11710.836656687552
2026-12-01,11560.234854874108,11494.615183936496,11746.152713695892
2027-01-01,11686.89962090829,11529.881378641065,11781.418908400577
2027-02-01,11443.765936840786,11565.097711042374,11816.635240802003
2027-03-01,11503.259451402775,11600.264181140428,11851.801710900174
2027-04-01,11688.530003186263,11635.380788935228,11886.91831869509
2027-05-01,11665.4089507587,11670.447534426763,11921.985064186742
2027-06-01,11871.818290456147,11705.464417615047,11957.001947375142
2027-07-01,11748.92870633385,11740.431438500073,11991.968968260284
2027-08-01,11718.718047004857,11775.348597081833,12026.88612684216
2027-09-01,12125.273499703137,11810.215893360337,12061.753423120785
2027-10-01,11941.643036339032,11845.033327335588,12096.570857096152
2027-11-01,12014.290945481755,11879.800899007578,12131.338428768258
2027-12-01,11856.280850505222,11914.51860837631,12166.056138137106
2028-01-01,12004.648078923394,11949.186455441783,12200.723985202696
2028-02-01,12123.898880473756,11983.804440204001,12235.341969965031
2028-03-01,11995.490269103762,12018.372562662958,12269.910092424105
2028-04-01,12227.181064427148,12052.890822818661,12304.428352579924
2028-05-01,12135.555374593992,12087.359220671104,12338.896750432483
2028-06-01,12209.874213020788,12121.777756220285,12373.31528598178
2028-07-01,12204.204661002062,12156.146429466215,12407.683959227827
2028-08-01,12555.456115693512,12190.46524040888,12442.002770170608
2028-09-01,12348.759784564376,12224.734189048295,12476.271718810143
2028-10-01,12248.118455157046,12258.953275384443,12510.490805146408
2028-11-01,12525.123109720334,12293.12249941734,12544.660029179422
2028-12-01,12295.338416280303,12327.241861146973,12578.77939090917
2029-01-01,12514.05490192244,12361.31136057335,12612.848890335665
2029-02-01,12268.007961005767,12395.330997696474,12646.868527458904
2029-03-01,12383.534034640197,12429.300772516335,12680.838302278882
2029-04-01,12614.414119218893,12463.220685032938,12714.758214795602
2029-05-01,12718.23261157853,12497.090735246287,12748.628265009067
2029-06-01,12678.811936976117,12530.91092315637,12782.448452919267
2029-07-01,12675.514014069235,12564.681248763203,12816.218778526216
2029-08-01,12685.282872423457,12598.401712066769,12849.939241829901
2029-09-01,12566.889657275444,12632.072313067085,12883.609842830334
2029-10-01,12698.493788336531,12665.693051764141,12917.230581527507
2029-11-01,12765.541100554066,12699.26392815794,12950.801457921421
2029-12-01,12995.081261158493,12732.784942248483,12984.322472012082
2030-01-01,12936.403232042874,12766.256094035765,13017.79362379948
2030-02-01,12697.74914790808,12799.67738351979,13051.21491328362
2030-03-01,13000.67308721952,12833.048810700559,13084.586340464506
2030-04-01,12942.405684346044,12866.370375578063,13117.907905342126
2030-05-01,12937.986226771993,12899.642078152316,13151.179607916496
2030-06-01,13137.63080244556,12932.863918423303,13184.4014481876
2030-07-01,13224.958462715953,12966.03589639104,13217.573426155453
2030-08-01,13245.201796821531,12999.158012055514,13250.695541820047
2030-09-01,13049.613913704721,13032.23026541673,13283.76779518138
2030-10-01,13151.086579100269,13065.252656474693,13316.79018623946
2030-11-01,13266.776690751283,13098.225185229394,13349.762714994276
2030-12-01,13382.90847138086,13131.147851680833,13382.685381445832
