property_id,source_name,price,surface,rooms,city,region,zone,municipalite,transaction_type,type,latitude,longitude,features,reliability_score,reliability_level,model_weight,is_outlier,suspected_duplicate,change_type,price_delta_pct,price_per_m2,scraped_at
affare_226648,affare,,90.0,2.0,Monastir,MONASTIR,east,Monastir,Rent,Apartment,35.7644,10.8,Ascenseur|Parking,80,GOOD,1.0,False,False,new,,,2026-03-27T11:13:31.652495
affare_235663,affare,950000.0,730.0,,Bizerte Nord,BIZERTE,north,Bizerte Nord,Sale,Land,37.2803,9.8205,Forêt|garage|petit studio|studio|toit|vue Mer|vue mer,90,HIGH,1.5,False,False,new,,1301.37,2026-03-27T11:15:29.676543
affare_146110,affare,2500.0,660.0,,Sfax Ville,SFAX,east,Sfax Ville,Sale,Land,34.7406,10.76,4 cotes|410 m2 de couvert|661 m2|centre ville|coin de 3 rues|jardin|project educatif|projet commercial|projet médical|terrain|villa,70,GOOD,1.0,True,False,new,,3.79,2026-03-27T11:14:40.395781
affare_241003,affare,165000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,documents juridiques|eau potable|nappe phréatique|puits profond|routes goudronnée|sol de bonne qualité|terrain agricole|électricité,50,LOW,0.5,False,False,unchanged,0.0,,2026-03-27T00:38:52.654623
affare_220450,affare,155000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,nu|plat|proximité de l'électricité|proximité du réseau d'eau|route goudronnée,50,LOW,0.5,False,False,unchanged,0.0,,2026-03-27T00:39:17.551397
affare_239822,affare,,,1.0,Monastir,MONASTIR,east,Monastir,Rent,Apartment,35.7644,10.8,piscine|pool,40,LOW,0.5,False,False,new,,,2026-03-27T11:15:17.439528
affare_223096,affare,78000.0,312.0,,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,eau et électricité disponible|semi- clôturé|titre foncier,90,HIGH,1.5,False,False,unchanged,0.0,250.0,2026-03-27T11:13:37.617510
affare_1000,affare,550.0,1000.0,,Bizerte Nord,BIZERTE,north,Bizerte Nord,Sale,Land,37.2803,9.8205,plage|superficie|terrain|vue panoramique,75,GOOD,1.0,True,False,price_down,-99.92,,2026-03-27T11:16:21.832237
affare_136985,affare,2500.0,661.0,7.0,Sfax Ville,SFAX,east,Sfax Ville,Sale,Land,34.7406,10.76,3 rues|compteur Electricté force|jardin|jardin de ses 4 cotés|terrain de 661 m2,80,GOOD,1.0,True,False,new,,3.78,2026-03-27T11:14:57.776841
affare_164918,affare,1500.0,7.0,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,7 hectares|arbres variés|charrue|drop irrigation|farm|guard house|haut standing|high standing villa|irrigation|machines agricultural|motorized water well|oliviers|paper in order|pigeon coop|salinité 1.7g|shed|subventionned meter|terrace|terrasse|tractor|villa|water well,75,GOOD,1.0,True,False,unchanged,0.0,,2026-03-27T00:38:38.690187
affare_249844,affare,,254.0,,Bizerte Nord,BIZERTE,north,Bizerte Nord,Sale,Land,37.2803,9.8205,bord de la mer|construction d'une maison|proche de toutes commodités|quartier calme|terrain,45,LOW,0.5,False,False,new,,,2026-03-27T11:15:45.353837
affare_243813,affare,,,3.0,Monastir,MONASTIR,east,Monastir,Sale,Apartment,35.7644,10.8,2 climatiseurs|IPTV|chauffage central|climatisation|haut standing|meuble|wifi,40,LOW,0.5,False,False,new,,,2026-03-27T11:13:07.858269
affare_248366,affare,320000.0,800000.0,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,agriculture|excellente nappe phréatique|terrain plat,75,GOOD,1.0,True,False,unchanged,0.0,,2026-03-26T16:50:47.073392
affare_253257,affare,600000.0,865.0,2.0,Kalâat El Andalous,ARIANA,north,Ariana Ville,Sale,Land,36.866011,10.193923,196 m²|S+2|chambres à coucher|climatisation|cuisine équipée|dressing|jardin|jardin piscinable|parking|place de Parking pour 2 voitures|plain pied|salle d'eau avec douche à l'italienne|salon salle a manger|terrain|terrasse|villa,100,HIGH,1.5,False,False,unchanged,0.0,693.64,2026-03-27T11:12:26.107327
affare_241047,affare,,,1.0,Monastir,MONASTIR,east,Monastir,Sale,Apartment,35.7644,10.8,2 climatiseurs|IPTV|chauffage central|climatisation|wifi,40,LOW,0.5,False,False,new,,,2026-03-27T11:13:19.687510
affare_253769,affare,,,2.0,Monastir,MONASTIR,east,Monastir,Rent,Apartment,35.7644,10.8,haut standing|parking|place de parking au sous sol|s+2|surface totale : 100m²|vue de mer,40,LOW,0.5,False,False,new,,,2026-03-27T11:12:56.633123
