property_id,source_name,price,surface,rooms,city,region,zone,municipalite,transaction_type,type,latitude,longitude,features,reliability_score,reliability_level,model_weight,is_outlier,suspected_duplicate,scraped_at
tunisieannonce_75259710c0a3,tunisieannonce,110000.0,300.0,,Oued Laya,TUNIS,north,Jebel Jelloud,Sale,Land,36.7667,10.1833,arbres d'oliviers|arbres fruitiers|eau sonede|planté|studio|terrain|électricité,85,HIGH,0.0,False,,
affare_220450,affare,155000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,nu|plat|proximité de l'électricité|proximité du réseau d'eau|route goudronnée,45,LOW,0.0,False,,
affare_136985,affare,2500.0,661.0,7,Sfax Ville,SFAX,east,Sfax Ville,Sale,Land,34.7406,10.76,3 rues|compteur Electricté force|jardin|jardin de ses 4 cotés|terrain de 661 m2,85,HIGH,0.0,True,,
affare_164918,affare,1500.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,7 hectares|arbres variés|charrue|drop irrigation|farm|guard house|haut standing|high standing villa|irrigation|machines agricultural|motorized water well|oliviers|paper in order|pigeon coop|salinité 1.7g|shed|subventionned meter|terrace|terrasse|tractor|villa|water well,45,LOW,0.0,True,,
affare_226648,affare,,90.0,2,Monastir,MONASTIR,east,Monastir,Rent,Apartment,35.7644,10.8,Ascenseur|Parking,75,GOOD,0.0,False,,
mubawab_8309582,mubawab,,350.0,4,,TUNIS,north,Jebel Jelloud,Sale,Villa,36.7667,10.1833,garden|piscine|pool,30,LOW,0.0,False,,
affare_146110,affare,2500.0,660.0,,Sfax Ville,SFAX,east,Sfax Ville,Sale,Land,34.7406,10.76,4 cotes|410 m2 de couvert|661 m2|centre ville|coin de 3 rues|jardin|project educatif|projet commercial|projet médical|terrain|villa,75,GOOD,0.0,True,,
affare_226855,affare,430.0,202.0,,,,,,Sale,Land,33.8439408,9.400138,calm area|four levels|good entourage|terrain|villa,25,LOW,0.0,True,,
affare_195701,affare,1290.0,430.0,3,,,,,Sale,Villa,33.8439408,9.400138,430 m2|jardin,60,GOOD,0.0,True,,
affare_237007,affare,1350.0,100.0,,,,,,Sale,Commercial,33.8439408,9.400138,H+3|ascenseur|chauffage central|climatisation|climatisation centrale|gardiennage|hall|kitchenette|meuble|syndic|toilette|trois pièces,25,LOW,0.0,True,,
affare_2400,affare,1000.0,2400.0,,Sousse Jawhara,SOUSSE,east,Sidi El Heni,Sale,Land,35.6756,10.3106,R+8|autorisation|clôturé|investisseur|prix|superficie|terrain constructible|titre bleu,75,GOOD,0.0,True,,
affare_228981,affare,,2500.0,10,,,,,Sale,Villa,33.8439408,9.400138,piscine|jardin|chambre de service,25,LOW,0.0,False,,
affare_241003,affare,165000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,documents juridiques|eau potable|nappe phréatique|puits profond|routes goudronnée|sol de bonne qualité|terrain agricole|électricité,45,LOW,0.0,False,,
affare_239822,affare,,,1,Monastir,MONASTIR,east,Monastir,Rent,Apartment,35.7644,10.8,piscine|pool,35,LOW,0.0,False,,
affare_2300,affare,55580.0,2300.0,,,,,,Sale,Commercial,33.8439408,9.400138,cablagefaux plafond|haut standing|kitchenette|meuble|more than bureaux|open space|orientation south east|parking|proximités des cafés et restaurants|toilettes,25,LOW,0.0,True,,
affare_235663,affare,950000.0,730.0,,,,,,Sale,Land,33.8439408,9.400138,1er étage|Forêt|garage|petit studio sur le toit|rez-de-chaussée|studio|surface bâtie|terrain|vue Mer|vue mer,35,LOW,0.0,False,,
affare_236234,affare,580000.0,300.0,4,,,,,Sale,Land,33.8439408,9.400138,terrasse,70,GOOD,0.0,False,,
affare_236238,affare,2600.0,,,,,,,Sale,Land,33.8439408,9.400138,,15,DROP,0.0,True,,
affare_256718,affare,780000.0,500.0,7,,,,,Sale,Land,33.8439408,9.400138,abri pour 3 voitures|chambres à coucher|chambres à coucher avec dressings|cuisine moderne|cuisine équipée|garage|grand salon|jardin|pièce de débarras ou de rangement|salle d'eau invités|salle de bain|salle à manger|salles de bain|salon|studio|suite parentale avec dressing et salle d'eau|surface bâtie|terrain|terrasse,70,GOOD,0.0,False,,
affare_241022,affare,1500.0,13.0,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,13 hectares|arbres fruitier|bassin de stockage|climatisation|eau électricité climatisation|garage|gardien|grand garage de stockage céréales paille / foins|grands paddocks|habitation indépendante|meuble|oliviers|salon cuisine salle d'eau|silo de stockage grain|sonde et puit|super ferme|terrasse|villas|écuries,85,HIGH,0.0,True,,
affare_247788,affare,,194.0,3,Ennasr,ARIANA,north,Ariana Ville,Sale,Apartment,36.866011,10.193923,Ascenseur|Parking,75,GOOD,0.0,False,,
affare_246872,affare,2000.0,209.0,4,,,,,Sale,Apartment,33.8439408,9.400138,Ascenseur|Parking,60,GOOD,0.0,True,,
affare_241047,affare,,,1,Monastir,MONASTIR,east,Monastir,Sale,Apartment,35.7644,10.8,2 climatiseurs|IPTV|chauffage central|climatisation|wifi,35,LOW,0.0,False,,
affare_245971,affare,1200.0,76.0,1,,,,,Rent,Apartment,33.8439408,9.400138,Ascenseur|Parking,60,GOOD,0.0,False,,
affare_243701,affare,450.0,430.0,,,,,,Sale,Land,33.8439408,9.400138,Superficie|terrain constructible|vue panoramique,25,LOW,0.0,True,,
affare_257950,affare,,75.0,3,,,,,Sale,Villa,33.8439408,9.400138,maison 2 étages,25,LOW,0.0,False,,
affare_243813,affare,,,3,Monastir,MONASTIR,east,Monastir,Sale,Apartment,35.7644,10.8,2 climatiseurs|IPTV|chauffage central|climatisation|haut standing|meuble|wifi,35,LOW,0.0,False,,
affare_246565,affare,3750.0,160.0,1,,,,,Rent,Land,33.8439408,9.400138,cartier prestigieux et calme|prés de toutes commodités|studio|terrain,60,GOOD,0.0,False,,
affare_241651,affare,960000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,documents juridiques|eau potable|ensemble de bâtiments|environnement naturel|excellente nappe phréatique|ferme|possibilité de creuser un puits profond|surface|sécurité|terrain fertile|électricité,45,LOW,0.0,False,,
affare_246809,affare,2000.0,208.0,4,L'Aouina,TUNIS,north,Jebel Jelloud,Sale,Apartment,36.7667,10.1833,Ascenseur|Parking,85,HIGH,0.0,True,,
affare_248366,affare,320000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,agriculture|excellente nappe phréatique|terrain plat,45,LOW,0.0,False,,
mubawab_8320001,mubawab,,50.0,,,ARIANA,north,Ariana Ville,Rent,Commercial,36.866011,10.193923,,15,DROP,0.0,False,,
affare_247794,affare,600000.0,212.0,3,Ennasr,ARIANA,north,Ariana Ville,Sale,Villa,36.866011,10.193923,Ascenseur,95,HIGH,0.0,False,,
affare_248970,affare,1350.0,875.0,3,,,,,Sale,Land,33.8439408,9.400138,jardin|climatisation|terrasse,60,GOOD,0.0,True,,
affare_252013,affare,406000.0,129.0,3,,,,,Sale,Apartment,33.8439408,9.400138,Parking,70,GOOD,0.0,False,,
affare_249844,affare,,254.0,,Bizerte Nord,BIZERTE,north,Bizerte Nord,Sale,Land,37.2803,9.8205,bord de la mer|construction d'une maison|proche de toutes commodités|quartier calme|terrain,40,LOW,0.0,False,,
affare_248967,affare,1600.0,130.0,2,,,,,Rent,Villa,33.8439408,9.400138,chauffage central|terrasse,60,GOOD,0.0,False,,
affare_250291,affare,,621.0,,Menzah,ARIANA,north,Ariana Ville,Sale,Land,36.866011,10.193923,R+2|isolé|proche de toutes commodités|terrain,40,LOW,0.0,False,,
affare_250596,affare,355000.0,147.0,3,,,,,Sale,Apartment,33.8439408,9.400138,Ascenseur|Parking,70,GOOD,0.0,False,,
