property_id,source_name,price,surface,rooms,city,region,zone,municipalite,transaction_type,type,latitude,longitude,features,reliability_score,reliability_level,model_weight,is_outlier,suspected_duplicate,change_type,price_delta_pct,price_per_m2,scraped_at
newkey_124702,newkey,,,,Maison / Villa,Tunis,,الهوارية,Sale,Villa,37.0565576,11.0104527,Général|Suite parentale|Cellier|Terrasse|Placards|Dressing|Balcon|Ensoleillé (e)|Chambres Spacieuses|Hall|Haut Standing|Jacuzzi|Lumineux|Quartier calme|Réfrigérateur|Sécurisé|Stores électriques|Espace extérieur|Jardin|Jardin arboré|Jardin clôturé|Cuisine|Cuisine équipée|Four|Hotte|Plaque|vue|Vue dégagée|parking|Abri de voiture|chauffage|Central|climatisation|Split|proximite|École|Magasin|Salle de sport|Espace vert|Restaurant(s)|Café(s)|Bureau de Poste|Banque(s)|Municipalité|Aéroport|Lycée,30,LOW,0.5,False,False,unchanged,,,2026-03-26T15:23:12.241244
darcom_40201,darcom,560000.0,808.0,,Sidi Salah,ARIANA,north,La Soukra,Sale,Land,36.885212,10.245301,price per square meter|surface|terrain,95,HIGH,1.5,False,False,unchanged,0.0,693.07,2026-03-26T13:47:39.108034
darcom_90062,darcom,,20.0,,Sbeitla,KASSERINE,west,Sbeitla,Rent,Other,35.2372,9.1256,non planté|olivier|poirier williams rouge|pommiers|sondage débit|title foncier,55,LOW,0.5,False,False,unchanged,,,2026-03-26T13:52:11.881968
darcom_130423,darcom,1100.0,270.0,5.0,Le Kram,TUNIS,north,El Kram,Sale,Land,36.85,10.3,SDB: 2,85,HIGH,1.5,True,False,unchanged,0.0,4.07,2026-03-26T13:47:50.088401
darcom_47067,darcom,680.0,808.0,,Sidi Salah,ARIANA,north,La Soukra,Sale,Land,36.885212,10.245301,Titre Foncier individuel|surface de 808 m²|terrain,75,GOOD,1.0,True,False,unchanged,0.0,0.84,2026-03-26T13:47:26.877576
darcom_76700,darcom,720.0,1354.0,,Sidi Salah,ARIANA,north,La Soukra,Sale,Land,36.885212,10.245301,location|price_per_square_meter|surface_area|terrain,75,GOOD,1.0,True,False,unchanged,0.0,0.53,2026-03-26T13:47:02.317061
darcom_66895,darcom,1250.0,3697.0,,Chotrana 2,ARIANA,north,La Soukra,Sale,Land,36.885212,10.245301,lotissement|lots distincts|superficies entre 586 m² et 630 m²|surface  3697 m²|terrain,75,GOOD,1.0,True,False,unchanged,0.0,0.34,2026-03-26T13:47:15.272902
darcom_78287,darcom,2500.0,2048.0,4.0,La Soukra,ARIANA,north,La Soukra,Rent,Land,36.885212,10.245301,WC: 1|Parking: 9|Jardin|Piscine|Climatisation,95,HIGH,1.5,False,False,unchanged,0.0,1.22,2026-03-26T13:52:55.686508
darcom_79359,darcom,1080.0,1350.0,,Chotrana 1,ARIANA,north,La Soukra,Rent,Land,36.885212,10.245301,bon voisinage|surface 1350 m²|terrain|zone résidentiel,75,GOOD,1.0,True,False,unchanged,0.0,0.8,2026-03-26T13:52:35.502375
darcom_130422,darcom,,1086.0,,Gammarth,TUNIS,north,La Marsa,Sale,Land,36.8775,10.3275,direct beachfront|front of sea|high-range project|rare|residential area|unique,50,LOW,0.5,False,False,unchanged,,,2026-03-26T13:47:58.050228
