property_id,source_name,description_preview,language,word_count,fraud_keywords,keyword_count,exclamation_count,gemma2_2b_sentiment,gemma2_2b_confidence,gemma2_2b_reason,gemma2_2b_elapsed
tunisieannonce_48dc982d6bbc,tunisieannonce,"une villa située à marsa cube qui offre un cadre de vie exceptionnel. au rez-de-chaussée, un vaste jardin avec piscine, une terrasse et un hall d'entrée accueillant donnent le ton et 4 places de parki",french,87,,0,0,ERROR,0,parse error,14.39
tunisieannonce_da3a9a7b80b9,tunisieannonce,a louer une villa à menzah6 à usage bureautique. bâtie 300m sur un terrain de 600m elle se compose de : -salle de réunion ou open space 4.75m*7m -bureau 1 3.80m*4m -bureau 2 4m *3.70m -bureau3 4m*3.90,french,85,,0,0,NEUTRAL_NEGATIVE,0.7,"La description mentionne des espaces de bureau individuels, une salle de formation et un garage, ce qui est tout à fait normal pour une villa. Cependant, l'exagération du nombre de bureaux et la taille du terrain suggèrent une possible exagération ou une intention frauduleuse. L'absence de détails précis sur les équipements et services (électricité, eau, internet) et la mention d'une urgence forcée soulèvent des questions.",15.14
tunisieannonce_55180a40e0bd,tunisieannonce,dar arbi au centre ville de soliman en bon état et elle est prés de marché et de station et des écoles il y a une grande salon et 2 grandes chambres et une cuisine bien équipées et une salle d'eau tré,french,50,,0,0,NEUTRAL_POSITIVE,0.7,"La description est généralement claire et factuelle, avec des informations détaillées sur l'état de l'habitation, la proximité de commodités et les caractéristiques du logement. Cependant, il manque d’éléments concrets pour valider l'exactitude des informations et s'avère légèrement suspectée par la mention d'une urgence forcée et la promesse d'exclusivité sans fournir de preuves.",12.89
affare_253257,affare,"DescriptionMon Réseau immobilier vous propose à la vente une superbe villa plain pied en S+2 dans un quartier très calme, édifiée sur un terrain de 865m pour une bâtisse de 196 m.Repartie comme suit :",french,107,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce présente des informations factuelles et détaillées sur la propriété. Cependant, certains éléments pourraient être jugés suspects comme l’exagération de la superficie du jardin (500m2) et le prix très bas (750 MD NEGOCIABLE). L'absence d'éléments concrets pour justifier ces promesses peut inciter à plus d'informations.",14.11
tunisieannonce_bae8f9e80dc3,tunisieannonce,"le patio immobilier tunisie met a la location un appartement avec jardin à la marsa dans une résidence calme et gardée. il se compose : d'un grand salon, d'un séjour, une cuisine équipée et une salle ",french,76,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce présente une description factuelle de l'appartement avec ses caractéristiques clés, mais il manque de précisions qui pourraient pousser la classification vers le négatif (ex :  mentionner une zone précise ou une estimation de prix). Il y a aussi un manque de détails sur les avantages de la résidence pour justifier la demande d'urgence.",12.15
tunisieannonce_e7a3e60bfc3d,tunisieannonce,"agence immobilier el karama met en vente coquette maison avec titre de propriété située à langle sur avenue principale, à boumhel bassatine dans un quartier chic calme et sécurisée de style américain ",french,111,,0,0,NEUTRAL_NEGATIVE,0.7,"L'annonce présente des éléments suspects : l'absence de précisions concernant la configuration des chambres et des salles de bain, le prix anormalement bas sans justificatif, la mention d'une urgence forcée et une description trop vague. ",11.57
tunisieannonce_e9f173c6a21c,tunisieannonce,"369 univers.a.i, agence immobilière située à la marsa, vous propose à la location une villa vide avec piscine à gammarth. elle se compose comme suit: - au rez-de-chaussée: un salon avec cheminée éthan",french,111,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce est descriptive mais présente quelques éléments suspects. Par exemple, la présence d'un hammam et un séchoir sur le rez-de-jardin  n'est pas une spécificité commune et pourrait suggérer une tentative de faire ressortir des fonctionnalités hors norme. De plus, l'exagération de certains aspects comme la piscine et le jardin est possible. La description reste factuelle mais il faut être prudent pour éviter de tomber sur des éléments frauduleux.",16.7
affare_258941,affare,DescriptionEn ExclusivitéA louer un appartement S+1 à Ennaser dans une résidence sécurisée et gardée.Emplacement : EnnaserTypologie : S+1Composition :salon1 Chambre à coucherSalle de douchekitchenette,french,38,,0,0,NEUTRAL_POSITIVE,0.8,"L'annonce présente une description normale de l'appartement avec des informations précises sur la typologie et les équipements. Cependant, la mention de prix anormalement bas (1000€) et d'urgence forcée soulève un indice de suspicion car ces éléments ne sont pas typiques de descriptions d'annonces immobilières légitimes.",12.13
affare_259692,affare,DescriptionPlace de parking au sous sol Résidence gardée et sécurisée Ascenseur Deux Dressing Premier étage Chauffage central Deux split climatiseurs Cuisine équipée et agencée. Appelez nous pour le v,french,66,,0,0,NEUTRAL_NEGATIVE,0.7,"L'annonce présente un certain niveau de suspicion car elle mentionne des éléments suspects comme 'Résidence gardée et sécurisée', sans précision sur le mode de sécurité et 'Chauffage central et deux split climatiseurs'.  En plus, l'incorporation d'un numéro de téléphone privé dans la description suggère une tentative d'influence ou de pression. L'absence de détails sur la nature du bien et de son emplacement peut également indiquer une stratégie frauduleuse.",15.72
tunisieannonce_7088ab0702f9,tunisieannonce,"agence immobilière le carré 9 vous propose à la location un bureau h+1 situé au 3éme étage dun immeuble bureautique aux berges du lac 2. il se compose dun hall dentrée, une pièce et une salle deau. il",french,68,,0,0,NEUTRAL_POSITIVE,0.7,"L'annonce est relativement claire et factuelle, mais il manque de détails concrets sur l'environnement ou les avantages spécifiques du bureau (ex : luminosité, accessibilité, etc.). La mention du prix anormalement bas peut indiquer une possible arrondi des informations par la promesse d'un taux de location attractif.",12.09
