source,transaction,url,title,price,currency,governorate,city,property_type,surface_m2,rooms,bathrooms,posted_at,scraped_at
mubawab,sale,https://www.mubawab.tn/fr/a/8042065/%C3%A0-vendre-un-appartement-s2-%C3%A0-gammarth,À vendre un appartement S2 à Gammarth,350000.0,TND,,La Marsa,Apartment,152.0,2,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8117055/appartement-s3-%C3%A0-la-marsa,Appartement S3 à La Marsa,2800.0,TND,,La Marsa,Apartment,150.0,3,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8128463/opportunit%C3%A9-d-investissement-exceptionnelle,Opportunité d'investissement exceptionnelle,,,,Bizerte,Apartment,154.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8147479/a-louer-un-s4-meubl%C3%A9-au-lac-2,A louer un S4 meublé au Lac 2,4800.0,TND,,La Marsa,Apartment,219.0,5,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8150672/a-louer-un-s3-au-lac-2,A louer un S3 au lac 2,,,,La Marsa,Apartment,15.0,3,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8158257/a-vendre-apparemment-s2-vue-mer,A vendre apparemment s2 vue mer,350000.0,TND,,Nabeul,Apartment,57.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8196323/a-vendre-penthouse-vue-panoramique,A Vendre Penthouse Vue Panoramique,405000.0,TND,,Sousse Jaouhara,Apartment,120.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8208718/%C3%A0-vendre-s2-dans-une-r%C3%A9sidence-avec-piscine-%C3%A0-afh-mrezga,À vendre S2 dans une résidence avec piscine à Afh mrezga,385000.0,TND,,Nabeul,Apartment,107.0,2,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8215073/a-lou%C3%A9-appartement-meubl%C3%A9,A Loué Appartement meublé,1800.0,TND,,Sousse Ville,Apartment,200.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8217528/%C3%A0-vendre-s1-de-57m%C2%B2avec-une-terrasse-%C3%A0-afh-mrezga,À vendre S1 de 57m²avec une terrasse à AFH mrezga,285000.0,TND,,Nabeul,Apartment,57.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8218387/location-annuelle-s2-meubl%C3%A9-vue-de-mer-%C3%A0-jasmin,Location annuelle S2 meublé Vue De Mer à Jasmin,1800.0,TND,,Nabeul,Apartment,120.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8224936/a-vendre-appartement-s2,A Vendre Appartement s2,200000.0,TND,,Sousse Jaouhara,Apartment,92.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8239768/%C3%A0-vendre-s2-dans-une-r%C3%A9sidence-%C3%A0-cit%C3%A9-el-wafa,À vendre S2 dans une résidence à cité el wafa,475000.0,TND,,Nabeul,Apartment,104.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8243238/vendre-appartement-s3-jamais-habit%C3%A9,Vendre Appartement S3 jamais habité,290000.0,TND,,Kélibia,Apartment,3.0,3,2,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8246583/a-louer-un-penthouse-avec-piscine-au-lac-2,A louer un penthouse avec piscine au Lac 2,8000.0,TND,,La Marsa,Apartment,380.0,4,4,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8247790/%C3%A0-vendre-appartement-s1-panorama,À vendre: Appartement S1 Panorama,225000.0,TND,,Sousse Ville,Apartment,574.0,1,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8251066/appartement-s1-pour-la-vente-direct-promoteur,Appartement S1 pour la vente direct promoteur,200000.0,TND,,Sousse Ville,Apartment,82.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8252827/a-louer-s3-meubl%C3%A9-au-lac-2,A louer S3 meublé au Lac 2,4000.0,TND,,La Marsa,Apartment,250.0,3,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8254649/s1-meubl%C3%A9-%C3%A0-louer-%C3%A0-la-marsa,S1 Meublé à louer à la Marsa,2000.0,TND,,La Marsa,Apartment,1.0,1,1,,2026-02-10T10:21:27.461533
mubawab,rent,https://www.mubawab.tn/fr/a/8257482/a-louer-s3-avec-vue-panoramique-au-lac-2,A louer S3 avec vue panoramique au lac 2,4500.0,TND,,La Marsa,Apartment,1.0,3,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8257904/a-vendre-appartement-s2-hst-%C3%A0-beb-saadoun,A vendre appartement S2 hst à Beb Saadoun,285000.0,TND,,Le Bardo,Apartment,10.0,2,1,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8258888/%C3%A0-vendre-appartement-s2,À vendre Appartement S2,380000.0,TND,,La Soukra,Apartment,143.0,2,2,,2026-02-10T10:21:27.461533
mubawab,sale,https://www.mubawab.tn/fr/a/8267422/appartement-s2-d%E2%80%99une-r%C3%A9sidence-proche-de-la-mer,Appartement S2 d’une résidence proche de la mer,200000.0,TND,,Kélibia,Apartment,117.0,2,1,,2026-02-10T10:21:27.461533
