source,source_listing_id,transaction,url,image_urls,title,price,currency,governorate,city,property_type,surface_m2,rooms,bathrooms,posted_at,scraped_at
mubawab,TEST456,rent,https://www.mubawab.tn/fr/a/TEST456,,Dual test listing,456.0,TND,,Ariana,,,,,,2026-02-14T12:35:43.125179
mubawab,8109828,sale,https://www.mubawab.tn/fr/a/8109828/%C3%A0-vendre-un-s3-neuf-aux-jardins-de-carthage,,À vendre un S3 neuf aux jardins de carthage,795000.0,TND,,Le Kram,Apartment,82.0,3,3,,2026-02-14T12:37:14.903018
mubawab,8137326,sale,https://www.mubawab.tn/fr/a/8137326/appartement-haut-standing,,Appartement haut standing,80000.0,EUR,,Menzel Jemil,Apartment,,2,1,,2026-02-14T12:37:14.903018
mubawab,8196356,sale,https://www.mubawab.tn/fr/a/8196356/a-vendre-s2-vue-sur-mer-%C3%A0-gammarth,,A Vendre s2 vue sur mer à Gammarth,530000.0,TND,,La Marsa,Apartment,99.0,2,2,,2026-02-14T12:37:14.903018
mubawab,8230106,sale,https://www.mubawab.tn/fr/a/8230106/grand-s3-haut-standing-sahloul-4,,Grand S3 haut standing Sahloul 4,447000.0,TND,,Sahloul,Apartment,163.0,3,3,,2026-02-14T12:37:14.903018
mubawab,8238680,sale,https://www.mubawab.tn/fr/a/8238680/s3-de-99m%C2%B2-%C3%A0-yasmine-hammamet,,S3 de 99m² à Yasmine Hammamet,375000.0,TND,,Hammamet,Apartment,99.0,3,1,,2026-02-14T12:37:14.903018
mubawab,8283239,sale,https://www.mubawab.tn/fr/a/8283239/duplex-s3-avec-entr%C3%A9e-ind%C3%A9pendante-%C3%A0-l-aouina,,Duplex S3 avec entrée indépendante à L'aouina,410000.0,TND,,La Marsa,Apartment,165.0,3,2,,2026-02-14T12:37:14.903018
mubawab,8283657,sale,https://www.mubawab.tn/fr/a/8283657/s2-%C3%A0-vendre-%C3%A0-la-nouvelle-soukra,,S2 à vendre à la Nouvelle Soukra,340000.0,TND,,La Marsa,Apartment,59.0,2,3,,2026-02-14T12:37:14.903018
mubawab,8283678,sale,https://www.mubawab.tn/fr/a/8283678/s3-%C3%A0-vendre-%C3%A0-la-nouvelle-soukra,,S3 à vendre à la Nouvelle Soukra,420000.0,TND,,La Marsa,Apartment,99.0,3,3,,2026-02-14T12:37:14.903018
mubawab,8283705,sale,https://www.mubawab.tn/fr/a/8283705/s3-%C3%A0-vendre-%C3%A0-l-aouina-palmerais,,S3 à vendre à l'Aouina Palmerais,365000.0,TND,,La Marsa,Apartment,59.0,3,3,,2026-02-14T12:37:14.903018
mubawab,8283712,sale,https://www.mubawab.tn/fr/a/8283712/s3-%C3%A0-vendre-%C3%A0-l-aouina-palmerais,,S3 à vendre à l'Aouina Palmerais,355000.0,TND,,La Marsa,Apartment,59.0,3,2,,2026-02-14T12:37:14.903018
mubawab,8283717,sale,https://www.mubawab.tn/fr/a/8283717/projet-sur-plan-%C3%A0-la-nouvelle-soukra,,Projet sur plan à la Nouvelle Soukra,211751.0,TND,,La Marsa,Apartment,59.0,1,1,,2026-02-14T12:37:14.903018
mubawab,8283801,sale,https://www.mubawab.tn/fr/a/8283801/s3-%C3%A0-vendre-%C3%A0-l-aouina-palmerais,,S3 à vendre à l'Aouina Palmerais,310000.0,TND,,La Marsa,Apartment,59.0,3,2,,2026-02-14T12:37:14.903018
