source,source_listing_id,transaction,url,image_urls,title,price,currency,governorate,city,zone,property_type,surface_m2,rooms,bathrooms,poi,posted_at,scraped_at
mubawab,7903086,sale,https://www.mubawab.tn/fr/pa/7903086/appartement-s1-rdc-%C3%A0-vendre-r%C3%A9sidence-malaga-2-la-marsa,"['https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif', 'https://www.mubawab-media.com/ad/7/903/086F/h/VUE%202_44687754_73907089.avif', 'https://www.mubawab-media.com/ad/7/903/086F/h/VUE%203_44690511_73907090.avif', 'https://www.mubawab-media.com/ad/7/903/086F/h/VUE%205_44690512_73907091.avif', 'https://www.mubawab-media.com/ad/7/903/086F/h/01_44715454_73907092.avif', 'https://www.mubawab-media.com/ad/7/909/493F/m/VUE%202_74821761.avif', 'https://www.mubawab-media.com/ad/8/009/998F/m/VUE%205_78964130.avif', 'https://www.mubawab-media.com/ad/7/903/087F/m/VUE%206_44687753_73907093.avif']","Appartement S1 RDC à vendre, Résidence MALAGA 2 La Marsa",390000.0,TND,,La Marsa,,Apartment,122.0,1,1,{},,2026-02-16T22:48:36.613197
mubawab,7999771,sale,https://www.mubawab.tn/fr/pa/7999771/appartement-s1-en-vente-%C3%A0-cit%C3%A9-el-ghazela,"['https://www.mubawab-media.com/ad/7/999/771F/h/RENDU03%20nuit_78855896.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU03_78846473_78855868.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU03_78855892.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU01_78846474_78855869.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU01_78855893.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU02_78846475_78855870.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU01nuit_78855894.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU04_78846476_78855871.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU02_78855895.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU05_78846477_78855872.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU06_78846478_78855873.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU04_78855897.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU07_78846479_78855874.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU05_78855898.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU08_78846480_78855875.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU06_78855899.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU09_78846481_78855876.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU07_78855900.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU10_78846482_78855877.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU08_78855901.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU11_78846483_78855878.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU09_78855902.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU12_78846484_78855879.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU10_78855903.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU13_78846485_78855880.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU11_78855904.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU03%20nuit_78846486_78855881.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU12_78855905.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU01nuit_78846487_78855882.avif', 'https://www.mubawab-media.com/ad/7/999/771F/h/RENDU13_78855906.avif', 'https://www.mubawab-media.com/ad/7/999/789F/m/RENDU08_78846480_78856046.avif', 'https://www.mubawab-media.com/ad/8/039/814F/m/RENDU09_78846481_79256350.avif', 'https://www.mubawab-media.com/ad/7/999/790F/m/RENDU04_78846476_78856057.avif']",Appartement S1 en vente à Cité el Ghazela,235000.0,TND,,Raoued,,Apartment,62.0,1,1,{},,2026-02-16T22:48:37.219344
mubawab,8270015,sale,https://www.mubawab.tn/fr/pa/8270015/fabuleux-appartement-s2-%C3%A0-vendre,"['https://www.mubawab-media.com/ad/8/270/015F/h/519507355_1257052509539673_8607294219171057178_n_81609366.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/A26%20%26%20S%2B2_81608856.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/8_81608845.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/25_81608846.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/28_81608847.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/DSC03099_81608848.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/DSC03110_81608849.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/14_81608850.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/31_81608851.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/7_81608852.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/DSC03125_81608853.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/19_81608854.avif', 'https://www.mubawab-media.com/ad/8/270/015F/h/DSC03127_81608855.avif', 'https://www.mubawab-media.com/ad/8/270/026F/m/DSC03166_81609403.avif', 'https://www.mubawab-media.com/ad/8/270/023F/m/DSC03169_81609402.avif', 'https://www.mubawab-media.com/ad/8/270/030F/m/DSC03144_81609404.avif', 'https://www.mubawab-media.com/ad/8/270/019F/m/8_81608878.avif']",Fabuleux appartement S2 à vendre,635000.0,TND,,Le Kram,,Apartment,131.0,2,2,{},,2026-02-16T22:48:37.409288
mubawab,8301000,sale,https://www.mubawab.tn/fr/a/8301000/a-vendre-s3-hst-r%C3%A9nov%C3%A8-a-cite-khalil-marsa,"['https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276270_property_large_81942676.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276268_property_large_81942664.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276284_property_large_81942665.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276282_property_large_81942666.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276280_property_large_81942667.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276278_property_large_81942668.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276277_property_large_81942669.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276276_property_large_81942670.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276275_property_large_81942671.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276274_property_large_81942672.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276273_property_large_81942673.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276272_property_large_81942674.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276271_property_large_81942675.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276269_property_large_81942677.avif', 'https://www.mubawab-media.com/ad/8/301/000F/h/thumb_1276286_property_large_81942678.avif', 'https://www.mubawab-media.com/ad/8/270/431F/m/RenduMarbella_S%2B1_04_81613281.avif', 'https://www.mubawab-media.com/ad/8/198/766F/m/IMG_7698_80849729.avif', 'https://www.mubawab-media.com/ad/8/295/422F/m/IMG_1146_81882329.avif', 'https://www.mubawab-media.com/ad/8/288/540F/m/thumb_1262352_property_large_81806955.avif']",A vendre S3 HST rénovè a cite Khalil Marsa,545000.0,TND,,La Marsa,,Apartment,130.0,3,1,{},,2026-02-16T22:48:38.756030
mubawab,8299140,sale,https://www.mubawab.tn/fr/a/8299140/un-appartement-s2-direct-promoteur-%C3%A0-vendre,"['https://www.mubawab-media.com/ad/8/299/140F/h/WhatsApp%20Image%202026-01-21%20at%2016.26.29_81924328.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/BALCON_81924329.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/KITCHINETTE_81924330.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/ENTREE_81924331.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/CUISINE_81924332.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/CHAMBRE%201_81924333.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/DRESSING_81924334.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/14c13923-9008-4a1e-aa8b-8758a4050011_81924335.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/c01a167e-822b-4f41-b8ad-34fe0d6a767f_81924336.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/e5a468dc-db85-4ada-97a4-e37bf5f5e085_81924337.avif', 'https://www.mubawab-media.com/ad/8/299/140F/h/WhatsApp%20Image%202026-01-21%20at%2016.26.28%20%282%29_81924338.avif', 'https://www.mubawab-media.com/ad/8/283/546F/m/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif', 'https://www.mubawab-media.com/ad/8/289/614F/m/SALON%20%283%29_81818091.avif', 'https://www.mubawab-media.com/ad/8/290/691F/m/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif', 'https://www.mubawab-media.com/ad/7/934/693F/m/WhatsApp%20Image%202025-10-31%20at%2010.19.58_81834621.avif']",Un appartement s2 direct promoteur à vendre,430000.0,TND,,La Soukra,,Apartment,109.0,2,1,{},,2026-02-16T22:48:39.736529
mubawab,8176026,sale,https://www.mubawab.tn/fr/a/8176026/a-vendre-s3-avec-vue-lac-au-lac-2,"['https://www.mubawab-media.com/ad/8/176/026F/h/thumb_1122990_property_large_80622085.avif', 'https://www.mubawab-media.com/ad/8/012/675F/m/WhatsApp%20Image%202024-09-16%20%C3%A0%2021.13.11_50f9436b_78991157.avif', 'https://www.mubawab-media.com/ad/7/909/493F/m/VUE%202_74821761.avif', 'https://www.mubawab-media.com/ad/8/281/903F/m/2_81740539.avif', 'https://www.mubawab-media.com/ad/8/304/029F/m/thumb_1279053_property_large_81973640.avif']",A vendre S3 avec vue lac au lac 2,950000.0,TND,,La Marsa,,Apartment,200.0,4,1,{},,2026-02-16T22:48:39.878605
mubawab,8293596,sale,https://www.mubawab.tn/fr/a/8293596/apt-centre-ville-tunis,"['https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif', 'https://www.mubawab-media.com/ad/8/293/596F/h/Chambre1_81859864.avif', 'https://www.mubawab-media.com/ad/8/293/596F/h/Salon1_81859865.avif', 'https://www.mubawab-media.com/ad/8/293/596F/h/20250928_100257_81859866.avif', 'https://www.mubawab-media.com/ad/8/293/596F/h/Cuisine_81859867.avif', 'https://www.mubawab-media.com/ad/8/293/596F/h/sdb_81859868.avif', 'https://www.mubawab-media.com/ad/8/293/596F/h/Salon2_81859869.avif', 'https://www.mubawab-media.com/ad/8/304/048F/m/19ab50f6-bde5-4f36-a3c4-159868cb410f_resize-image_81973876.avif', 'https://www.mubawab-media.com/ad/8/292/159F/m/5ec7118e-496f-4968-864c-53bc33d6afbe_fe19f5f6-738f-46f0-99ad-0cadcd1340b6_81844809.avif', 'https://www.mubawab-media.com/ad/8/294/100F/m/e610adf2-bdb1-4c57-b5cc-bc2cd4becbe3_35925857-5190-4cca-9155-db87848cdefb_81865120.avif', 'https://www.mubawab-media.com/ad/8/215/633F/m/35e3991d-5563-4396-a69c-cf01c1939279_81058509.avif']",APT Centre Ville Tunis,160000.0,TND,,Tunis,,Apartment,50.0,2,1,{},,2026-02-16T22:48:41.292640
mubawab,8230106,sale,https://www.mubawab.tn/fr/a/8230106/grand-s3-haut-standing-sahloul-4,"['https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_00_81181224.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_02_81181226.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_03_81181227.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_04_81181228.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_05_81181229.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_06_81181230.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_07_81181231.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_08_81181232.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_09_81181233.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_010_81181234.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_011_81181235.avif', 'https://www.mubawab-media.com/ad/8/230/106F/h/photo_012_81181236.avif', 'https://www.mubawab-media.com/ad/8/304/338F/m/1_81977081.avif', 'https://www.mubawab-media.com/ad/7/860/876F/m/WhatsApp%20Image%202025-01-14%20at%2014.28.12_79648571.avif', 'https://www.mubawab-media.com/ad/8/285/742F/m/Copie%20de%201_Artboard%204_81765287_81777688.avif', 'https://www.mubawab-media.com/ad/8/284/565F/m/Copie%20de%201_Artboard%204_81765287_81765302.avif']",Grand S3 haut standing Sahloul 4,447000.0,TND,,Sahloul,,Apartment,163.0,3,3,{},,2026-02-16T22:48:42.024548
mubawab,8106947,sale,https://www.mubawab.tn/fr/pa/8106947/s1-%E2%80%93-r%C3%A9sidence-l%E2%80%99ultime-projet-diar-rached,"['https://www.mubawab-media.com/ad/8/106/947F/h/P6_79913906_79913929.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/1-F-A-F_79913903_79913919.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/6-1-F_79913904_79913920.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/P5_79913907_79913930.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/P2_79913910_79913933.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/SDB_6%20-%20Photo_79913911_79913934.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/Int-2_79913913_79913936.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/Ch_79913914_79913937.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/Int-1_79913915_79913938.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/IMG-20241013-WA0012_79913916_79913939.avif', 'https://www.mubawab-media.com/ad/8/106/947F/h/4-F2_7%20-%20Photo_79913918_79913941.avif', 'https://www.mubawab-media.com/ad/8/107/555F/m/5-3-F_79919743.avif', 'https://www.mubawab-media.com/ad/8/107/562F/m/P6_79919794.avif', 'https://www.mubawab-media.com/ad/8/107/553F/m/P4_79919708.avif', 'https://www.mubawab-media.com/ad/8/106/975F/m/Ch_79914315.avif']",S1 – Résidence L’ULTIME Projet Diar Rached,,TND,,Le Kram,,Apartment,63.0,1,1,{},,2026-02-16T22:48:42.575244
mubawab,8167195,sale,https://www.mubawab.tn/fr/a/8167195/a-vendre-duplex-avec-vue-lac,"['https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019275_property_large_80531986.avif', 'https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019287_property_large_80531987.avif', 'https://www.mubawab-media.com/ad/8/012/675F/m/WhatsApp%20Image%202024-09-16%20%C3%A0%2021.13.11_50f9436b_78991157.avif', 'https://www.mubawab-media.com/ad/8/204/503F/m/thumb_1150624_property_large_80906258.avif', 'https://www.mubawab-media.com/ad/8/242/533F/m/logo1_81307496.avif', 'https://www.mubawab-media.com/ad/8/283/017F/m/1_81751028.avif']",A vendre duplex avec vue Lac,1300000.0,TND,,La Marsa,,Apartment,243.0,2,1,{},,2026-02-16T22:48:43.761924
