id,description,source_name,nb_emojis,emojis_list,nb_alert_emojis,ratio_emojis,description_clean,langue,nb_mots,sentiment_stars,sentiment_score,sentiment_signal,zeroshot_label,zeroshot_score,zeroshot_signal,rules_signal,rules_details,rules_count
2,"DescriptionA vendre, 2 hectares  nu, plat,  un terrain à 36 km de Tunis a Ain El Asker, sur route goudronnée, à proximité du réseau d'eau et d'électricitéPrix : 155000 dinars, négociable.pour profiter cette offre et pour plus d'information :contactez: mr harabi alitel: 22516198whatsapp (216) 55357150visite sur rdv a l'avancerue habib bourguiba birmchergua 1141première visite 30 dt et le reste des visites sont gratuites ,beaucoup d' autres offres sont disponibles :des terrains agricoles , industriels , des terrains de lotissement ,de loisir et des villas",affare,0,,0,0.0,"DescriptionA vendre, 2 hectares nu, plat, un terrain à 36 km de Tunis a Ain El Asker, sur route goudronnée, à proximité du réseau d'eau et d'électricitéPrix : 155000 dinars, négociable.pour profiter cette offre et pour plus d'information :contactez: mr harabi alitel: 22516198whatsapp (216) 55357150visite sur rdv a l'avancerue habib bourguiba birmchergua 1141première visite 30 dt et le reste des visites sont gratuites ,beaucoup d' autres offres sont disponibles :des terrains agricoles , industriels , des terrains de lotissement ,de loisir et des villas",fr,84,1,0.369,0.332,pressante,0.344,0.241,0.0,aucun,0
3,"DescriptionVilla avec jardin de ses 4 cotés située à la route kaid mhamed km 1,5 est mise en location pour une longue durée en vue d'une activité commerciale. la villa est spacieuse, située dans un emplacement très calme et proche du centre ville (elle fait 410 m2 de couvert sur un terrain de 661 m2), et de plus elle fait le coin de 3 rues, donc totalement libre des 3 côtés, compteur eléctricité force est aussi disponible.villa convient pour un projet éducatif (exemple, jardin d'enfants ou créche ou centre scolaire privé) ou médical (centre dialyse, relais de pharmacie, etc..) ou autre projet. pour se renseigner, prière d'appeler le numero portable: 98 60 96 80 (Mr. Ahmed) ou me contacter par email sur ce site, et je vous répondrai inchallah 2..",affare,0,,0,0.0,"DescriptionVilla avec jardin de ses 4 cotés située à la route kaid mhamed km 1,5 est mise en location pour une longue durée en vue d'une activité commerciale. la villa est spacieuse, située dans un emplacement très calme et proche du centre ville (elle fait 410 m2 de couvert sur un terrain de 661 m2), et de plus elle fait le coin de 3 rues, donc totalement libre des 3 côtés, compteur eléctricité force est aussi disponible.villa convient pour un projet éducatif (exemple, jardin d'enfants ou créche ou centre scolaire privé) ou médical (centre dialyse, relais de pharmacie, etc..) ou autre projet. pour se renseigner, prière d'appeler le numero portable: 98 60 96 80 (Mr. Ahmed) ou me contacter par email sur ce site, et je vous répondrai inchallah 2..",fr,130,4,0.496,0.099,pressante,0.302,0.212,0.32,absence_prix_bien_cher,1
4,"Descriptionchez l'agence immobiliere harabi met a vendreune agréable ferme d'une superficie totale de 7 hectaresau plaines de boucha aux confins des gouvernorats zaghouan et béja à 48km de tunis sur la route goudronnée, culturé, continent 1500 oliviers karonayki et 500 arbres variés orties amandiers figuiers orangerspuit d'eau avec moteur électrique 5.5 chevaux débit 3l s , salinité 1.7g et conteur steg subventionné .équipé de diverses machines agricoles tracteur et charrue et irrigation goutte à goutte avec les vannes.réseaux : steg 4 compteurs sonede 2 compteursavec une villa haute standing 250m2 équipée d'une magnifique terrasse, maison de gardien, un dépôt 400m2 , ecouri , poulaillerpapier en règle.prix: 1500000dt à discuter.pour profiter cette offre et pour plus d'information :contactez: mr harabi alitel: 22516198whatsapp (216) 55357150visite sur rdv a l'avancerue habib bourguiba birmchergua 1141première visite 30 dt et le reste des visites sont gratuites ,beaucoup d' autre offres sont disponibles :des terrain agricole , industriel , des terrain de lotissement ,de loisir et des villas",affare,0,,0,0.0,"Descriptionchez l'agence immobiliere harabi met a vendreune agréable ferme d'une superficie totale de 7 hectaresau plaines de boucha aux confins des gouvernorats zaghouan et béja à 48km de tunis sur la route goudronnée, culturé, continent 1500 oliviers karonayki et 500 arbres variés orties amandiers figuiers orangerspuit d'eau avec moteur électrique 5.5 chevaux débit 3l s , salinité 1.7g et conteur steg subventionné .équipé de diverses machines agricoles tracteur et charrue et irrigation goutte à goutte avec les vannes.réseaux : steg 4 compteurs sonede 2 compteursavec une villa haute standing 250m2 équipée d'une magnifique terrasse, maison de gardien, un dépôt 400m2 , ecouri , poulaillerpapier en règle.prix: 1500000dt à discuter.pour profiter cette offre et pour plus d'information :contactez: mr harabi alitel: 22516198whatsapp (216) 55357150visite sur rdv a l'avancerue habib bourguiba birmchergua 1141première visite 30 dt et le reste des visites sont gratuites ,beaucoup d' autre offres sont disponibles :des terrain agricole , industriel , des terrain de lotissement ,de loisir et des villas",fr,162,5,0.395,0.02,pressante,0.355,0.248,0.0,aucun,0
6,"DescriptionAgence Les Arcades met en location 🔑 pour des courtes durée un magnifique appartement très haut standing  🔝🌟de type s+2 ,situé dans une résidence à la falaise de Monastir prés complexe touristique Marina .Vite réserver votre séjour👉pour plus d'informations contacter notre Agence:🤗☎ (00 216 )24 87 24 87 / (00 216) 99 090 006☎💡📧 mail: agencelesarcadesimmo@gmail.com",affare,9,🔑 🔝 🌟 👉 🤗 ☎ 💡 📧,2,0.1607,"DescriptionAgence Les Arcades met en location pour des courtes durée un magnifique appartement très haut standing de type s 2 ,situé dans une résidence à la falaise de Monastir prés complexe touristique Marina .Vite réserver votre séjour pour plus d'informations contacter notre Agence: (00 216 )24 87 24 87 / (00 216) 99 090 006 mail: agencelesarcadesimmo gmail.com",fr,58,5,0.444,0.022,pressante,0.397,0.278,0.75,emojis_excessifs|emojis_alerte|absence_prix_bien_cher,3
1,"Descriptionnous vous proposons à la location un bureau haut standing jamais habité situé dans un immeuble bureautique au lac 3 ,surface de 1700 m² en open space . il présente les caractéristiques suivantes:openspace1700 m²vue lactoiletteskitchenetteaccés par gp9 ou route tunis-marineorientation sud estproximités des cafés et restaurants10 min de station de tgmparkingprix : 34000 dt/ht/moispour plus d'info veuillez rappeler notre agence au51603900/99603906/51614130",affare,0,,0,0.0,"Descriptionnous vous proposons à la location un bureau haut standing jamais habité situé dans un immeuble bureautique au lac 3 ,surface de 1700 m² en open space . il présente les caractéristiques suivantes:openspace1700 m²vue lactoiletteskitchenetteaccés par gp9 ou route tunis-marineorientation sud estproximités des cafés et restaurants10 min de station de tgmparkingprix : 34000 dt/ht/moispour plus d'info veuillez rappeler notre agence au51603900/99603906/51614130",fr,61,3,0.239,0.095,vague,0.343,0.154,0.28,contacts_multiples,1
9,"DescriptionMahjoub met en vente Une Villa De 4 Niveaux Située à Beni Ismaïl El Kharouba, Bizerte emplacement idéale dans une zone calme avec un bon entourage.superficie terrain 202m²Prix de vente : 430 mille dinarssituation juridique : Titre foncier individuelContacter-nous pour plus d'informations 📞+21697764800Merci de nous contacter au WhatsApp(+216)97764800",affare,1,📞,0,0.0208,"DescriptionMahjoub met en vente Une Villa De 4 Niveaux Située à Beni Ismaïl El Kharouba, Bizerte emplacement idéale dans une zone calme avec un bon entourage.superficie terrain 202m²Prix de vente : 430 mille dinarssituation juridique : Titre foncier individuelContacter-nous pour plus d'informations 21697764800Merci de nous contacter au WhatsApp( 216)97764800",fr,49,3,0.289,0.116,pressante,0.303,0.212,0.32,absence_prix_bien_cher,1
11,"Description📍 NOUVELLE ARIANA : BUREAU H+3 À LOUERL'agence #MON_RÉSEAU met à la location des bureaux de 100 m² situés dans un immeuble bureautique H+3 , disponibles aux 1er et 4eme étages avec ascenseur , idéalement conçus pour des professions telles que médecin, architecte, comptable, etc.Chaque bureau comprend :- Hall- Trois pièces- Toilette- Kitchenette- Chauffage central- Climatisation centrale- Gardiennage et syndicPrix de location : 1350 TND HT + 50 TND de frais de syndic par bureau🚨L'immeuble est sécurisé et bien situé à Ariana, à proximité des principales commodités.Pour plus d'informations, contactez notre conseillère en immobilier :☎️ Téléphone : +216 98 115 202📭 WhatsApp : +216 98 115 202📧 E-mail : monreseau.immo@outlook.com",affare,5,📍 🚨 ☎ 📭 📧,1,0.0455,"Description NOUVELLE ARIANA : BUREAU H 3 À LOUERL'agence MON_RÉSEAU met à la location des bureaux de 100 m² situés dans un immeuble bureautique H 3 , disponibles aux 1er et 4eme étages avec ascenseur , idéalement conçus pour des professions telles que médecin, architecte, comptable, etc.Chaque bureau comprend :- Hall- Trois pièces- Toilette- Kitchenette- Chauffage central- Climatisation centrale- Gardiennage et syndicPrix de location : 1350 TND HT 50 TND de frais de syndic par bureau L'immeuble est sécurisé et bien situé à Ariana, à proximité des principales commodités.Pour plus d'informations, contactez notre conseillère en immobilier : Téléphone : 216 98 115 202 WhatsApp : 216 98 115 202 E-mail : monreseau.immo outlook.com",fr,113,3,0.287,0.115,fiable,0.353,0.018,0.63,emojis_excessifs|emojis_alerte,2
12,"Descriptionune opportunité rare 🔥 :
un terrain constructible de 2400 m², idéalement situé à Jawhara, dans un quartier résidentiel calme et recherché 🌳🏡
🔹 Caractéristiques du terrain :
📐 Superficie : 2400 m²
🚧 Terrain clôturé
🏗️ Autorisation : R+8 (construction immédiate)
📜 Titre bleu disponible
💰 Prix : 1000 DT / m²
💵 Prix total : 2 400 000 DT
📍 Idéal pour promoteurs immobiliers ou investisseurs cherchant un projet rentable 📈
📞 Contactez-nous dès maintenant pour plus d'informations ou pour organiser une visite
📱 (+216) 50 802 150
📱 (+216) 55 660 538 
WhatsApp +216 55 660 538",affare,15,🔥 🌳 🏡 🔹 📐 🚧 🏗 📜 💰 💵 📍 📈 📞 📱,3,0.15,"Descriptionune opportunité rare : un terrain constructible de 2400 m², idéalement situé à Jawhara, dans un quartier résidentiel calme et recherché Caractéristiques du terrain : Superficie : 2400 m² Terrain clôturé Autorisation : R 8 (construction immédiate) Titre bleu disponible Prix : 1000 DT / m² Prix total : 2 400 000 DT Idéal pour promoteurs immobiliers ou investisseurs cherchant un projet rentable Contactez-nous dès maintenant pour plus d'informations ou pour organiser une visite ( 216) 50 802 150 ( 216) 55 660 538 WhatsApp 216 55 660 538",fr,89,3,0.356,0.142,vague,0.3,0.135,0.8,pression_achat|emojis_excessifs|emojis_alerte|contacts_multiples,4
20,"DescriptionA Vendre  une Magnifique villa indépendante située à Corniche Bizerte s''étendant sur 3 étagesUn vaste jardin avec une vue dégagée sur Mer et foretUne Piscine3 Abris de voituresUn pool house1 er étageUne chaudièreUne chambre de services3 vastes salons avec une salle à mangerUne grande cuisineUn petit séjourUne salle d'eauUne suite : chambre +salle d'eau2 éme étage :5 chambres à coucherUne spacieuse suite parentale avec une vue imprenable sur mer équipée d'une chambre de dressing, une salle de bainUn débarra avec une salle d'eau3 panneaux voltaïques dans le toitUne possibilité d'un R+2La partie Sous-Sol2 chambres à coucher avec dressingsUne salle de bainUne cuisineUn vaste salon style spa ou hammam traditionnelsUne sortie vers le jardinLe pool house indépendant de la Villa2 chambresUne salle d'eau avec une douche italienneUne cuisine équipéeUn dressingMerci de m 'appeler sur le +216 55 659 900",affare,0,,0,0.0,"DescriptionA Vendre une Magnifique villa indépendante située à Corniche Bizerte s''étendant sur 3 étagesUn vaste jardin avec une vue dégagée sur Mer et foretUne Piscine3 Abris de voituresUn pool house1 er étageUne chaudièreUne chambre de services3 vastes salons avec une salle à mangerUne grande cuisineUn petit séjourUne salle d'eauUne suite : chambre salle d'eau2 éme étage :5 chambres à coucherUne spacieuse suite parentale avec une vue imprenable sur mer équipée d'une chambre de dressing, une salle de bainUn débarra avec une salle d'eau3 panneaux voltaïques dans le toitUne possibilité d'un R 2La partie Sous-Sol2 chambres à coucher avec dressingsUne salle de bainUne cuisineUn vaste salon style spa ou hammam traditionnelsUne sortie vers le jardinLe pool house indépendant de la Villa2 chambresUne salle d'eau avec une douche italienneUne cuisine équipéeUn dressingMerci de m 'appeler sur le 216 55 659 900",fr,139,5,0.725,0.036,pressante,0.325,0.227,0.32,absence_prix_bien_cher,1
14,"DescriptionAgence Les Arcades met en location 🔑 pour des courtes durée un magnifique appartement 🔝🌟de type s+1,situé dans une résidence sécurisé à 2éme zone touristique Monastir .Référence: A13Vite réserver votre séjour👉pour plus d'informations contacter notre Agence:🤗☎(00216) 24872487 ☎💡📧 mail: agencelesarcadesimmo@gmail.com",affare,9,🔑 🔝 🌟 👉 🤗 ☎ 💡 📧,2,0.225,"DescriptionAgence Les Arcades met en location pour des courtes durée un magnifique appartement de type s 1,situé dans une résidence sécurisé à 2éme zone touristique Monastir .Référence: A13Vite réserver votre séjour pour plus d'informations contacter notre Agence: (00216) 24872487 mail: agencelesarcadesimmo gmail.com",fr,42,4,0.308,0.062,pressante,0.364,0.255,0.63,emojis_excessifs|emojis_alerte,2
