id,description_clean,nb_emojis,emojis_list,nb_alert_emojis,label_manuel,notes
252,"Description TERRAIN À VENDRE - KANTAOUI (Côté Plage) Opportunité rare dans la zone touristique de Port El Kantaoui ! Emplacement : Direction Port El Kantaoui Surface : 489 m² (Grande façade, deux parcelle jumelé) Statut : Titre Bleu individuel Vocation : Résidentiel R 2 Prix : 1600 DT/m² (Légèrement négociable) Infoline WhatsApp : 55 660 538 // 28 657 936 // 50 802 150 WhatsApp : 216 55 660 538",8,🌊 📍 📏 📜 🏗 💰 📞 📲,1,neutre_negatif,
4915,"Description Dès que l'on franchit le seuil, le temps semble suspendu Au cœur de la Médina, cette demeure dévoile un patio baigné de lumière, sublimé par des tapis traditionnels aux couleurs vibrantes et des assises typiques qui invitent à la convivialité. Les lanternes suspendues, telles des étoiles artisanales, diffusent une lumière douce et chaleureuse, créant une atmosphère unique où chaque détail raconte l'authenticité tunisienne. Entre les faïences finement travaillées, les portes bleues emblématiques et l'harmonie des matières, ce lieu incarne parfaitement l'élégance du patrimoine revisité. Ici, chaque instant devient une expérience : un café paisible, une soirée animée ou un événement mémorable dans un cadre hors du temps. Un véritable écrin de charme, pensé pour accueillir vos plus beaux projets Situé dans un emplacement stratégique au sein du circuit touristique de la ville de Tunis, à proximité du restaurant Dar El Bey et à environ 200 mètres du restaurant et hôtel Dar El Jeld. Caractéristiques : Superficie totale : 377 m² Rez-de-chaussée : 4 grandes pièces Patio (cour traditionnelle) Cuisine spacieuse Étage : Salle d'exposition 3 pièces Toit-terrasse : Aménagé et équipé Équipements : Gaz de ville Électricité industrielle Situation juridique : Bien avec titre foncier. Atouts : Emplacement touristique dynamique et très recherché Idéal pour plusieurs projets d'investissement rentables Prêt à l'exploitation sans travaux majeurs Le bien est libre et immédiatement exploitable.",0,,0,postif,
1651,"Description New Key La Marsa vous propose à la location une belle villa avec piscine et vue sur mer, idéalement située à La Marsa. Cette bâtisse est composée comme suit : Au rez-de-chaussée, on trouve un salon salle à manger offrant une vue panoramique sur la mer, un coin bureau, une cuisine bien équipée ainsi qu'une salle d'eau pour les invités. Au rez-de-jardin : une suite parentale et deux chambres à coucher avec une salle de bain commune. La villa est équipée du chauffage central et de climatiseurs. Référence : 8929A",0,,0,positif,
1882,occasion la sté akariet sarraj propose a vendre terrain ( 214m²) zone des villas et à proximité de toutes commodités akouda documents fournis : papiers en régle prix: 470dt/m² ( un peux négociable) vente terrain agenceimmobilière aka rietsarraj 27.457.153 ou 98.740.165 ou 73.274.601,0,,0,neutre_positif,
836,"Description Century 21 Prestige vous propose à la Location cette Villa indépendante neuve et jamais habitée, vue sur mer, en S 3 située dans un quartier très prisé à la Marsa Corniche. Elle se compose comme suit : Au RDC Un Salon, Salle à manger Une cuisine équipée semi ouverte Une salle d'eau pour les invités Deux chambres à coucher avec Dressing ouvrant sur la terrasse et piscine Salle de bain commune Au 1er étage Suite parentale avec dressing et salle de bain Terrasse avec vue dégagée sur la mer Pour plus d'informations ou pour organiser une visite, veuillez nous contacter au 21629018498 ou au 21620092000 Email : prestige century21.tn",0,,0,neutre_positif ,
611,"Description Century 21 Prestige vous propose à la location à Ain Zaghouan Nord un local commercial de 73 m² Ce local se compose de : Un point d'eau Une façade de 3 mètres Idéal pour votre activité commerciale, ce local bénéficie d'une excellente visibilité et d'un emplacement stratégique. Pour plus d'informations ou pour organiser une visite, n'hésitez pas à nous contacter : Téléphone : 216 20 092 000 / 216 29 183 514 Email : prestige century21.tn",0,,0,neutre_positif,
214,"Description Attestation de propriété individuel A proximité de toutes commodités Deux locaux commerciaux 4 compteurs électricité 2 compteurs gaz 2 compteurs d'eau Le rez- de chaussée ,dispose d'un Appartement (s 2) Le premier étage dispose d'un Appartement (s 2) Possibilité de bâtir un autre étage à cette maison . Terrasse Superficie 220 m² couvert Superficie 250 m² terrain. Appelez nous pour le visiter gratuitement. Votre conseillère : ACHWEK SEDDIK: 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628615615 Whatsapp / Botim. Votre Conseiller : ALI ZAATIR : 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21628614614 Whatsapp / Botim. Nos Adresses : Agence Bouhsina : Rue Omar Ibn Abdelaziz Bouhsina Sousse, 4027. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 : 21673216390 Agence Khezema : Rue Hassen Ben Said 4051 khezema ouest sousse. 𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄: 21673275544.",19,✅ 📱 🏠 ☎,0,neutre_negatif,
4204,"l'agence immo contact met en location a borj baccouche pour 1700 dt par mois un etage de villa s plus 3 hst (180m) avec chauffage central , suite , entrée commune (wb4336) frais de visite 20dt , commission agence 1 mois",0,,0,neutre_negatif,
3613,"bâtie sur un terrain de 430 m² , très belle villa r 1 haut standing surface totale couverte 400 m² répartis entre un rez de chaussée plus 1 étage . villa considérée comme opportunité , située à sahloul 2 villa mise à la vente . comprenant au rez de chaussée un salon,salle à manger , séjour ,1 chambre d'amis ,salle d'eau avec douche ,cuisine agencée équipée avec bée-vitrée donnant sur une seconde cuisine ,salle de sport , débarras . l'étage composé d'une suite parents , 3 chambres , salles d'eau , chauffage central et climatisation , photovoltaique ,terrasses ,piscine ,villa entourée d'un jardin , entrée de voitures abritées .prix demandé 1600000 dt titre foncier individuel .infos et visite contactez l'immobilière du lac h-sousse au 216 73 370 942 où 216 99 904 113 et 216 23 713 406.",0,,0,neutre_positif,
3894,"a louer un appartement s 2 haut standing derrière carrefour cité el wahat, il se compose d'un salon, une kitchenette équipée avec plaque et hotte et four, une salle de bain plus deux chambres à coucher. l'appartement est équipé par chauffage central plus deux climatiseurs. merci de contacter notre agent en immobilier au 90531973",0,,0,neutre_positif,
