date,ipc_general_ins,taux_directeur,tmm,tunindex,tunindex_immo
2019-02-01,7.3,,,,
2019-03-01,7.1,,,,
2019-04-01,6.9399999999999995,,,,
2019-07-01,6.779999999999999,,,,
2019-10-01,6.62,,,,
2020-01-01,6.46,,,,
2020-04-01,6.3,,,,
2020-10-01,5.4,,,,
2020-11-01,4.9,,,,
2020-12-01,4.9,,,,
2021-01-01,4.9,6.25,6.15,,
2021-02-01,4.9,6.25,6.23,,
2021-03-01,4.8,6.25,6.23,,
2021-04-01,5.0,6.25,6.25,,
2021-05-01,5.0,6.25,6.25,,
2021-06-01,5.7,6.25,6.26,,
2021-07-01,6.4,6.25,6.29,,
2021-08-01,6.2,6.25,6.26,,
2021-09-01,6.2,6.25,6.25,,
2021-10-01,6.3,6.25,6.24,,
2021-11-01,6.4,6.25,6.25,,
2021-12-01,6.6,6.25,6.25,,
2022-01-01,6.7,6.25,6.19,905028.0,20.0
2022-02-01,6.95,6.25,6.25,905028.0,20.0
2022-03-01,7.2,6.25,6.26,905028.0,20.0
2022-04-01,7.5,6.25,6.26,905028.0,20.0
2022-05-01,7.8,7.0,6.6,905028.0,20.0
2022-06-01,8.1,7.0,7.01,905028.0,20.0
2022-07-01,8.2,7.0,7.02,905028.0,20.0
2022-08-01,8.6,7.0,7.03,905028.0,20.0
2022-09-01,9.1,7.0,7.03,905028.0,20.0
2022-10-01,9.2,7.25,7.23,905028.0,20.0
2022-11-01,9.8,7.25,7.27,905028.0,20.0
2022-12-01,10.1,7.25,7.26,905028.0,20.0
2023-01-01,10.2,8.0,7.96,905028.0,20.0
2023-02-01,10.4,8.0,8.02,905028.0,20.0
2023-03-01,10.3,8.0,8.05,905028.0,20.0
2023-04-01,10.1,8.0,8.01,905028.0,20.0
2023-05-01,9.6,8.0,8.0,905028.0,20.0
2023-06-01,9.3,8.0,8.0,905028.0,20.0
2023-07-01,9.1,8.0,8.0,905028.0,20.0
2023-08-01,7.2,8.0,8.0,905028.0,20.0
2023-09-01,7.4,8.0,8.0,905028.0,20.0
2023-10-01,8.6,8.0,7.99,905028.0,20.0
2023-11-01,8.3,8.0,7.99,905028.0,20.0
2023-12-01,8.1,8.0,7.99,905028.0,20.0
2024-01-01,7.8,8.0,7.98,905028.0,20.0
2024-02-01,7.5,8.0,7.97,905028.0,20.0
2024-03-01,7.5,8.0,7.96,905028.0,20.0
2024-04-01,7.2,8.0,7.97,905028.0,20.0
2024-05-01,7.2,8.0,7.97,905028.0,20.0
2024-06-01,7.3,8.0,7.97,905028.0,20.0
2024-07-01,6.5,8.0,7.98,905028.0,20.0
2024-08-01,6.7,8.0,7.99,905028.0,20.0
2024-09-01,6.7,8.0,7.99,905028.0,20.0
2024-10-01,6.7,8.0,7.99,905028.0,20.0
2024-11-01,6.6,8.0,7.99,905028.0,20.0
2024-12-01,6.2,8.0,7.99,905028.0,20.0
2025-01-01,5.3,8.0,7.99,905028.0,20.0
2025-02-01,5.7,8.0,7.99,905028.0,20.0
2025-03-01,5.9,7.5,7.91,905028.0,20.0
2025-04-01,5.6,7.5,7.5,905028.0,20.0
2025-05-01,5.4,7.5,7.5,905028.0,20.0
2025-06-01,5.4,7.5,7.5,905028.0,20.0
2025-07-01,5.3,7.5,7.5,905028.0,20.0
2025-08-01,5.2,7.5,7.5,905028.0,20.0
2025-09-01,5.2,7.5,7.49,905028.0,20.0
2025-10-01,4.9,7.5,7.49,905028.0,20.0
2025-11-01,4.9,7.5,7.49,905028.0,20.0
2025-12-01,4.9,7.5,7.49,905028.0,20.0
2026-01-01,4.8,7.0,7.08,905028.0,20.0
2026-02-01,4.6,7.0,6.99,905028.0,20.0
2026-03-01,4.6,7.0,6.99,905028.0,20.0
