date,indicator,value,source,unit
2005-01-01,chomage_rate,12.872,WorldBank,%
2005-01-01,inflation_rate,2.01778641357144,WorldBank,%
2005-01-01,pib_courant,41871000000.0,WorldBank,TND
2005-01-01,tnd_eur,1.6141,WorldBank,TND/EUR
2005-01-01,tnd_usd,1.29743333333333,WorldBank,TND/USD
2006-01-01,chomage_rate,12.51,WorldBank,%
2006-01-01,inflation_rate,3.22525337438917,WorldBank,%
2006-01-01,pib_courant,45756200000.0,WorldBank,TND
2006-01-01,tnd_eur,1.6712,WorldBank,TND/EUR
2006-01-01,tnd_usd,1.331025,WorldBank,TND/USD
2007-01-01,chomage_rate,12.365,WorldBank,%
2007-01-01,inflation_rate,2.96694432477349,WorldBank,%
2007-01-01,pib_courant,49864500000.0,WorldBank,TND
2007-01-01,tnd_eur,1.7561,WorldBank,TND/EUR
2007-01-01,tnd_usd,1.28135833333333,WorldBank,TND/USD
2008-01-01,chomage_rate,12.444,WorldBank,%
2008-01-01,inflation_rate,4.34502807623045,WorldBank,%
2008-01-01,pib_courant,55273200000.0,WorldBank,TND
2008-01-01,tnd_eur,1.8122,WorldBank,TND/EUR
2008-01-01,tnd_usd,1.23214166666667,WorldBank,TND/USD
2009-01-01,chomage_rate,13.29,WorldBank,%
2009-01-01,inflation_rate,3.66490330642919,WorldBank,%
2009-01-01,pib_courant,58677200000.0,WorldBank,TND
2009-01-01,tnd_eur,1.8833,WorldBank,TND/EUR
2009-01-01,tnd_usd,1.350275,WorldBank,TND/USD
2010-01-01,chomage_rate,13.049,WorldBank,%
2010-01-01,inflation_rate,3.33897963601069,WorldBank,%
2010-01-01,pib_courant,66139400000.0,WorldBank,TND
2010-01-01,tnd_eur,1.8976,WorldBank,TND/EUR
2010-01-01,tnd_usd,1.4314,WorldBank,TND/USD
2011-01-01,chomage_rate,18.334,WorldBank,%
2011-01-01,inflation_rate,3.24002842009531,WorldBank,%
2011-01-01,pib_courant,67747200000.0,WorldBank,TND
2011-01-01,tnd_eur,1.9596,WorldBank,TND/EUR
2011-01-01,tnd_usd,1.40778333333333,WorldBank,TND/USD
2012-01-01,chomage_rate,17.63,WorldBank,%
2012-01-01,inflation_rate,4.6118443220664,WorldBank,%
2012-01-01,pib_courant,73895300000.0,WorldBank,TND
2012-01-01,tnd_eur,2.0067,WorldBank,TND/EUR
2012-01-01,tnd_usd,1.56189166666667,WorldBank,TND/USD
2013-01-01,chomage_rate,15.934,WorldBank,%
2013-01-01,inflation_rate,5.31623531326689,WorldBank,%
2013-01-01,pib_courant,79097200000.0,WorldBank,TND
2013-01-01,tnd_eur,2.1577,WorldBank,TND/EUR
2013-01-01,tnd_usd,1.62465833333333,WorldBank,TND/USD
2014-01-01,chomage_rate,14.259,WorldBank,%
2014-01-01,inflation_rate,4.62555099534031,WorldBank,%
2014-01-01,pib_courant,85345200000.0,WorldBank,TND
2014-01-01,tnd_eur,2.2554,WorldBank,TND/EUR
2014-01-01,tnd_usd,1.697675,WorldBank,TND/USD
2015-01-01,chomage_rate,15.159,WorldBank,%
2015-01-01,inflation_rate,4.437371273215,WorldBank,%
2015-01-01,pib_courant,89802200000.0,WorldBank,TND
2015-01-01,tnd_eur,2.1764,WorldBank,TND/EUR
2015-01-01,tnd_usd,1.961625,WorldBank,TND/USD
2016-01-01,chomage_rate,15.557,WorldBank,%
2016-01-01,inflation_rate,3.62939937384381,WorldBank,%
2016-01-01,pib_courant,95286900000.0,WorldBank,TND
2016-01-01,tnd_eur,2.3777,WorldBank,TND/EUR
2016-01-01,tnd_usd,2.14803333333333,WorldBank,TND/USD
2017-01-01,chomage_rate,15.33,WorldBank,%
2017-01-01,inflation_rate,5.30884839565844,WorldBank,%
2017-01-01,pib_courant,102011500000.0,WorldBank,TND
2017-01-01,tnd_eur,2.7332,WorldBank,TND/EUR
2017-01-01,tnd_usd,2.419425,WorldBank,TND/USD
2018-01-01,chomage_rate,15.459,WorldBank,%
2018-01-01,inflation_rate,7.30759176031652,WorldBank,%
2018-01-01,pib_courant,112985500000.0,WorldBank,TND
2018-01-01,tnd_eur,3.1258,WorldBank,TND/EUR
2018-01-01,tnd_usd,2.64686666666667,WorldBank,TND/USD
2018-04-01,ipim,6.5,INS,index_2015=100
2019-01-01,chomage_rate,17.153,WorldBank,%
2019-01-01,inflation_rate,6.72007532863799,WorldBank,%
2019-01-01,pib_courant,122969300000.0,WorldBank,TND
2019-01-01,tnd_eur,3.285,WorldBank,TND/EUR
2019-01-01,tnd_usd,2.93443333333333,WorldBank,TND/USD
2019-02-01,ipc_general_ins,7.3,INS,%
2019-03-01,ipc_general_ins,7.1,INS,%
2019-04-01,ipim,5.4,INS,index_2015=100
2019-07-01,ipim,3.6,INS,index_2015=100
