date,ipc_general_ins,taux_directeur,tmm,ipc_lag1,td_lag1,ipc_lag2,td_lag2,ipc_lag3,td_lag3,ipc_lag6,td_lag6,month
2021-07-01,6.4,6.25,6.29,5.7,6.25,5.0,6.25,5.0,6.25,4.9,6.25,7
2021-08-01,6.2,6.25,6.26,6.4,6.25,5.7,6.25,5.0,6.25,4.9,6.25,8
2021-09-01,6.2,6.25,6.25,6.2,6.25,6.4,6.25,5.7,6.25,4.8,6.25,9
2021-10-01,6.3,6.25,6.24,6.2,6.25,6.2,6.25,6.4,6.25,5.0,6.25,10
2021-11-01,6.4,6.25,6.25,6.3,6.25,6.2,6.25,6.2,6.25,5.0,6.25,11
2021-12-01,6.6,6.25,6.25,6.4,6.25,6.3,6.25,6.2,6.25,5.7,6.25,12
2022-01-01,6.7,6.25,6.19,6.6,6.25,6.4,6.25,6.3,6.25,6.4,6.25,1
2022-02-01,6.95,6.25,6.25,6.7,6.25,6.6,6.25,6.4,6.25,6.2,6.25,2
2022-03-01,7.2,6.25,6.26,6.95,6.25,6.7,6.25,6.6,6.25,6.2,6.25,3
2022-04-01,7.5,6.25,6.26,7.2,6.25,6.95,6.25,6.7,6.25,6.3,6.25,4
2022-05-01,7.8,7.0,6.6,7.5,6.25,7.2,6.25,6.95,6.25,6.4,6.25,5
2022-06-01,8.1,7.0,7.01,7.8,7.0,7.5,6.25,7.2,6.25,6.6,6.25,6
2022-07-01,8.2,7.0,7.02,8.1,7.0,7.8,7.0,7.5,6.25,6.7,6.25,7
2022-08-01,8.6,7.0,7.03,8.2,7.0,8.1,7.0,7.8,7.0,6.95,6.25,8
2022-09-01,9.1,7.0,7.03,8.6,7.0,8.2,7.0,8.1,7.0,7.2,6.25,9
2022-10-01,9.2,7.25,7.23,9.1,7.0,8.6,7.0,8.2,7.0,7.5,6.25,10
2022-11-01,9.8,7.25,7.27,9.2,7.25,9.1,7.0,8.6,7.0,7.8,7.0,11
2022-12-01,10.1,7.25,7.26,9.8,7.25,9.2,7.25,9.1,7.0,8.1,7.0,12
2023-01-01,10.2,8.0,7.96,10.1,7.25,9.8,7.25,9.2,7.25,8.2,7.0,1
2023-02-01,10.4,8.0,8.02,10.2,8.0,10.1,7.25,9.8,7.25,8.6,7.0,2
2023-03-01,10.3,8.0,8.05,10.4,8.0,10.2,8.0,10.1,7.25,9.1,7.0,3
2023-04-01,10.1,8.0,8.01,10.3,8.0,10.4,8.0,10.2,8.0,9.2,7.25,4
2023-05-01,9.6,8.0,8.0,10.1,8.0,10.3,8.0,10.4,8.0,9.8,7.25,5
2023-06-01,9.3,8.0,8.0,9.6,8.0,10.1,8.0,10.3,8.0,10.1,7.25,6
2023-07-01,9.1,8.0,8.0,9.3,8.0,9.6,8.0,10.1,8.0,10.2,8.0,7
2023-08-01,7.2,8.0,8.0,9.1,8.0,9.3,8.0,9.6,8.0,10.4,8.0,8
2023-09-01,7.4,8.0,8.0,7.2,8.0,9.1,8.0,9.3,8.0,10.3,8.0,9
2023-10-01,8.6,8.0,7.99,7.4,8.0,7.2,8.0,9.1,8.0,10.1,8.0,10
2023-11-01,8.3,8.0,7.99,8.6,8.0,7.4,8.0,7.2,8.0,9.6,8.0,11
2023-12-01,8.1,8.0,7.99,8.3,8.0,8.6,8.0,7.4,8.0,9.3,8.0,12
2024-01-01,7.8,8.0,7.98,8.1,8.0,8.3,8.0,8.6,8.0,9.1,8.0,1
2024-02-01,7.5,8.0,7.97,7.8,8.0,8.1,8.0,8.3,8.0,7.2,8.0,2
2024-03-01,7.5,8.0,7.96,7.5,8.0,7.8,8.0,8.1,8.0,7.4,8.0,3
