date,chomage_rate,inflation_rate,ipc_general_ins,ipim,pib_courant,taux_directeur,tmm,tnd_eur,tnd_usd,tunindex,tunindex_immo
2005-01-01,12.872,2.01778641357144,,,41871000000.0,,,1.6141,1.29743333333333,,
2006-01-01,12.51,3.22525337438917,,,45756200000.0,,,1.6712,1.331025,,
2007-01-01,12.365,2.96694432477349,,,49864500000.0,,,1.7561,1.28135833333333,,
2008-01-01,12.444,4.34502807623045,,,55273200000.0,,,1.8122,1.23214166666667,,
2009-01-01,13.29,3.66490330642919,,,58677200000.0,,,1.8833,1.350275,,
2010-01-01,13.049,3.33897963601069,,,66139400000.0,,,1.8976,1.4314,,
2011-01-01,18.334,3.24002842009531,,,67747200000.0,,,1.9596,1.40778333333333,,
2012-01-01,17.63,4.6118443220664,,,73895300000.0,,,2.0067,1.56189166666667,,
2013-01-01,15.934,5.31623531326689,,,79097200000.0,,,2.1577,1.62465833333333,,
2014-01-01,14.259,4.62555099534031,,,85345200000.0,,,2.2554,1.697675,,
2015-01-01,15.159,4.437371273215,,,89802200000.0,,,2.1764,1.961625,,
2016-01-01,15.557,3.62939937384381,,,95286900000.0,,,2.3777,2.14803333333333,,
2017-01-01,15.33,5.30884839565844,,,102011500000.0,,,2.7332,2.419425,,
2018-01-01,15.459,7.30759176031652,,,112985500000.0,,,3.1258,2.64686666666667,,
2018-04-01,,,,6.5,,,,,,,
2019-01-01,17.153,6.72007532863799,,,122969300000.0,,,3.285,2.93443333333333,,
2019-02-01,,,7.3,,,,,,,,
2019-03-01,,,7.1,,,,,,,,
2019-04-01,,,,5.4,,,,,,,
2019-07-01,,,,3.6,,,,,,,
2019-10-01,,,,2.0,,,,,,,
2020-01-01,17.651,5.63415115897625,,,119502100000.0,,,3.2074,2.8111,,
2020-04-01,,,6.3,,,,,,,,
2020-10-01,,,5.4,,,,,,,,
2020-11-01,,,4.9,,,,,,,,
2020-12-01,,,4.9,,,,,,,,
2021-01-01,16.632,5.706350208307,4.9,,131544600000.0,6.25,6.15,3.2964,2.7963,,
2021-02-01,,,4.9,,,6.25,6.23,,,,
2021-03-01,,,4.8,,,6.25,6.23,,,,
2021-04-01,,,5.0,,,6.25,6.25,,,,
2021-05-01,,,5.0,,,6.25,6.25,,,,
2021-06-01,,,5.7,,,6.25,6.26,,,,
2021-07-01,,,6.4,3.7,,6.25,6.29,,,,
2021-08-01,,,6.2,,,6.25,6.26,,,,
2021-09-01,,,6.2,,,6.25,6.25,,,,
2021-10-01,,,6.3,0.6,,6.25,6.24,,,,
2021-11-01,,,6.4,,,6.25,6.25,,,,
2021-12-01,,,6.6,,,6.25,6.25,,,,
2022-01-01,15.3,8.30646124447623,6.7,,139444500000.0,6.25,6.19,3.2611,3.1049,905028.0,20.0
2022-02-01,,,,,,6.25,6.25,,,905028.0,20.0
2022-03-01,,,7.2,,,6.25,6.26,,,905028.0,20.0
2022-04-01,,,7.5,,,6.25,6.26,,,905028.0,20.0
2022-05-01,,,7.8,,,7.0,6.6,,,905028.0,20.0
2022-06-01,,,8.1,,,7.0,7.01,,,905028.0,20.0
2022-07-01,,,8.2,,,7.0,7.02,,,905028.0,20.0
2022-08-01,,,8.6,,,7.0,7.03,,,905028.0,20.0
2022-09-01,,,9.1,,,7.0,7.03,,,905028.0,20.0
2022-10-01,,,9.2,,,7.25,7.23,,,905028.0,20.0
2022-11-01,,,9.8,,,7.25,7.27,,,905028.0,20.0
2022-12-01,,,10.1,,,7.25,7.26,,,905028.0,20.0
2023-01-01,15.106,9.32899597507865,10.2,,149733800000.0,8.0,7.96,3.3583,3.1069,905028.0,20.0
2023-02-01,,,10.4,,,8.0,8.02,,,905028.0,20.0
2023-03-01,,,10.3,,,8.0,8.05,,,905028.0,20.0
2023-04-01,,,10.1,,,8.0,8.01,,,905028.0,20.0
2023-05-01,,,9.6,,,8.0,8.0,,,905028.0,20.0
