seg,q,date,lo,base,hi,chg
Appt — TUNIS,Q1 2026,2026-01-01,252178,260613,268475,0.0
Appt — TUNIS,Q2 2026,2026-04-01,258555,267257,275238,2.5
Appt — TUNIS,Q3 2026,2026-07-01,256129,264798,273478,1.6
Appt — TUNIS,Q4 2026,2026-10-01,260492,268965,277192,3.2
Appt — TUNIS,Q1 2027,2027-01-01,262753,270608,279810,3.8
Appt — TUNIS,Q2 2027,2027-04-01,267024,276373,285631,6.0
Appt — TUNIS,Q3 2027,2027-07-01,267503,276411,284806,6.1
Appt — TUNIS,Q4 2027,2027-10-01,269362,278633,287900,6.9
Appt — TUNIS,Q1 2028,2028-01-01,274465,284237,294100,9.1
Appt — TUNIS,Q2 2028,2028-04-01,277287,287004,296955,10.1
Appt — TUNIS,Q3 2028,2028-07-01,279539,290352,300479,11.4
Appt — National,Q1 2026,2026-01-01,367546,379840,391300,0.0
Appt — National,Q2 2026,2026-04-01,376842,389524,401157,2.5
Appt — National,Q3 2026,2026-07-01,373306,385941,398592,1.6
Appt — National,Q4 2026,2026-10-01,379665,392014,404005,3.2
Appt — National,Q1 2027,2027-01-01,382960,394409,407820,3.8
Appt — National,Q2 2027,2027-04-01,389185,402812,416304,6.0
Appt — National,Q3 2027,2027-07-01,389883,402867,415102,6.1
Appt — National,Q4 2027,2027-10-01,392592,406105,419611,6.9
Appt — National,Q1 2028,2028-01-01,400030,414273,428648,9.1
Appt — National,Q2 2028,2028-04-01,404143,418305,432808,10.1
Appt — National,Q3 2028,2028-07-01,407425,423185,437945,11.4
Maison — Nat,Q1 2026,2026-01-01,538302,559231,580297,0.0
Maison — Nat,Q2 2026,2026-04-01,539203,560996,584395,0.3
Maison — Nat,Q3 2026,2026-07-01,532299,553412,577099,-1.0
Maison — Nat,Q4 2026,2026-10-01,535426,559630,583932,0.1
Maison — Nat,Q1 2027,2027-01-01,540969,563898,587418,0.8
Maison — Nat,Q2 2027,2027-04-01,551925,576615,600480,3.1
Maison — Nat,Q3 2027,2027-07-01,546841,571079,596431,2.1
Maison — Nat,Q4 2027,2027-10-01,545733,572279,597321,2.3
Maison — Nat,Q1 2028,2028-01-01,551670,578952,606388,3.5
Maison — Nat,Q2 2028,2028-04-01,555718,585399,613803,4.7
Maison — Nat,Q3 2028,2028-07-01,558078,587143,618581,5.0
Terrain — Nat,Q1 2026,2026-01-01,341823,350874,360514,0.0
Terrain — Nat,Q2 2026,2026-04-01,348644,357553,366593,1.9
Terrain — Nat,Q3 2026,2026-07-01,350649,360418,370366,2.7
Terrain — Nat,Q4 2026,2026-10-01,355713,365094,375157,4.1
Terrain — Nat,Q1 2027,2027-01-01,353492,364498,374101,3.9
Terrain — Nat,Q2 2027,2027-04-01,359709,370185,380458,5.5
Terrain — Nat,Q3 2027,2027-07-01,361303,372111,383446,6.1
Terrain — Nat,Q4 2027,2027-10-01,370570,381394,392961,8.7
Terrain — Nat,Q1 2028,2028-01-01,372380,383872,396178,9.4
Terrain — Nat,Q2 2028,2028-04-01,379133,391218,403472,11.5
Terrain — Nat,Q3 2028,2028-07-01,383236,395561,407848,12.7
