id,listing_id,source_name,price,surface,rooms,city,region,zone,transaction_type,property_type,scraped_at,change_type,price_delta,price_delta_pct,reliability_score
1,93613420-d02a-4bfa-b8b8-174d9bc9d180,aqari,,,,Tunis,TUNIS,north,Sale,Other,2026-03-23T17:33:01.852907,new,,,20
3,verdar_129894,verdar,620000.0,,,Boumhel,,,Sale,Land,2026-03-23T17:41:57.423457,new,,,25
4,verdar_129904,verdar,345000.0,,,Boumhel,,,Sale,Apartment,2026-03-23T17:42:17.786107,new,,,25
7,verdar_107846,verdar,105000.0,,,Boumhel,,,Sale,Land,2026-03-23T17:42:27.019357,new,,,25
13,verdar_97543,verdar,980000.0,,,Bélair Boumhel,,,Sale,Land,2026-03-23T17:42:31.824501,new,,,30
12,verdar_91041,verdar,880000.0,,,Hammam Chat,BEN AROUS,north,Sale,Land,2026-03-23T17:42:42.831066,new,,,40
11,verdar_92821,verdar,399000.0,,,Boumhel Cité El Bahri,,,Sale,Land,2026-03-23T17:42:51.473719,new,,,15
10,verdar_124576,verdar,1300.0,,,Boumhel Belair,,,Rent,Villa,2026-03-23T17:43:00.688185,new,,,15
9,verdar_124713,verdar,3000400.0,,,Hammam Chatt Pour Une Location Estivale Ou Par Nuitée,BEN AROUS,north,Rent,Land,2026-03-23T17:43:04.331804,new,,,20
6,verdar_127969,verdar,1300.0,,,Boumhel,,,Rent,Apartment,2026-03-23T17:43:17.783720,new,,,25
8,verdar_124362,verdar,1900.0,,,Nouvelle Médina,,,Rent,Villa,2026-03-23T17:43:26.658830,new,,,30
5,verdar_124421,verdar,2200.0,,,Ezzahra,BEN AROUS,north,Rent,Commercial,2026-03-23T17:43:30.785929,new,,,40
2,verdar_124672,verdar,750.0,,,Boumhel Et Pas- De- Porte 22Md,,,Rent,Commercial,2026-03-23T17:43:41.509297,new,,,15
37,affare_259035,affare,2.0,152.0,,Sidi Abdelhamid,SOUSSE,east,Sale,Land,2026-03-23T18:47:41.814344,new,,,60
39,affare_259032,affare,259032.0,76.0,,Khezema,,,Rent,Commercial,2026-03-23T18:48:10.542717,new,,,35
36,affare_259034,affare,259034.0,,4.0,Cité Riadh,,,Sale,Land,2026-03-23T18:48:17.067160,new,,,65
42,affare_259036,affare,2.0,92.0,2.0,Cité Rayhanne,,,Sale,Apartment,2026-03-23T18:48:23.998920,new,,,45
43,affare_259033,affare,2.0,73.0,2.0,Sousse Avec Place De Parking,SOUSSE,east,Sale,Commercial,2026-03-23T18:48:31.373805,new,,,75
34,affare_259030,affare,259030.0,506.0,,,,,Sale,Land,2026-03-23T18:48:36.159629,new,,,30
38,affare_259037,affare,2.0,106.0,2.0,Khezema,,,Sale,Apartment,2026-03-23T18:48:40.715358,new,,,45
35,affare_259038,affare,1.0,5400.0,,Sidi Bouali Près De L'Autoroute Et Gp1,,,Sale,Land,2026-03-23T18:48:47.007647,new,,,25
40,affare_259031,affare,259031.0,606.0,,,,,Sale,Land,2026-03-23T18:48:52.584257,new,,,30
41,affare_259029,affare,259029.0,178.0,,,,,Sale,Commercial,2026-03-23T18:48:58.310856,new,,,35
32,affare_259028,affare,,,2.0,,,,Rent,Apartment,2026-03-23T18:49:04.103767,new,,,10
25,affare_259027,affare,259027.0,,,Chott Mariem,,,Sale,Land,2026-03-23T18:49:10.075168,new,,,30
26,affare_259026,affare,2.0,90.0,2.0,Soviva Chott Mariem,,,Sale,Apartment,2026-03-23T18:49:24.440189,new,,,50
29,affare_259025,affare,3.0,14.0,3.0,La Marsa Zvl1567,TUNIS,north,Rent,Villa,2026-03-23T18:49:31.015011,new,,,70
27,affare_259024,affare,3717.0,400.0,2.0,,,,Rent,Villa,2026-03-23T18:49:37.339793,new,,,55
33,affare_259021,affare,2.0,85.0,2.0,Bouhsina El Ghazali,,,Sale,Apartment,2026-03-23T18:49:42.275337,new,,,45
30,affare_259022,affare,2.0,100.0,2.0,Sahloul 3,,,Sale,Apartment,2026-03-23T18:49:49.098971,new,,,60
28,affare_259023,affare,3.0,399.0,,,,,Sale,Land,2026-03-23T18:49:55.134776,new,,,10
20,affare_238972,affare,2.0,98.0,2.0,La Marsa,TUNIS,north,Sale,Apartment,2026-03-23T18:50:00.215387,new,,,75
23,affare_246045,affare,246045.0,500.0,,Gammarth Supérieur,,,Sale,Land,2026-03-23T18:50:07.317836,new,,,70
17,affare_254300,affare,2.0,140.0,2.0,,,,Sale,Villa,2026-03-23T18:50:15.482619,new,,,50
15,affare_257742,affare,3.0,,3.0,,,,Rent,Villa,2026-03-23T18:50:21.679766,new,,,10
31,affare_259019,affare,259019.0,170.0,3.0,Hammem Sousse,SOUSSE,east,Sale,Villa,2026-03-23T18:50:24.719623,new,,,90
24,affare_259018,affare,3.0,153.0,3.0,Sahloul 4 Avec Place De Parking,,,Rent,Apartment,2026-03-23T18:50:31.409701,new,,,50
14,affare_154525,affare,2.0,80.0,3.0,,,,Sale,Villa,2026-03-23T18:50:37.677573,new,,,50
19,affare_233390,affare,4082.0,408.0,,,,,Sale,Land,2026-03-23T18:50:44.895600,new,,,10
21,affare_209759,affare,2.0,60.0,3.0,,,,Sale,Apartment,2026-03-23T18:50:50.019764,new,,,50
18,affare_247865,affare,247865.0,180.0,4.0,,,,Sale,Villa,2026-03-23T18:50:55.483794,new,,,70
22,affare_231619,affare,2.0,80.0,3.0,,,,Sale,Apartment,2026-03-23T18:51:02.241097,new,,,50
16,affare_253130,affare,8702.0,870.0,,,,,Sale,Land,2026-03-23T18:51:08.497624,new,,,10
58,affare_248365,affare,185000.0,,,Bir Mchergua,ZAGHOUAN,north,Sale,Land,2026-03-24T10:24:44.101421,new,,,70
46,affare_248364,affare,350000.0,,,Bir Mchergua,ZAGHOUAN,north,Sale,Land,2026-03-24T10:25:18.501761,new,,,70
51,affare_243820,affare,65000.0,10000.0,,Bir Mchergua,ZAGHOUAN,north,Sale,Land,2026-03-24T10:25:30.733264,new,,,55
53,affare_241005,affare,175000.0,,,Bir Mchergua,ZAGHOUAN,north,Sale,Land,2026-03-24T10:25:41.406104,new,,,70
50,affare_221112,affare,,,,El Fahs,ZAGHOUAN,north,Sale,Land,2026-03-24T10:25:49.665608,new,,,30
47,affare_241011,affare,245000.0,,,Bir Mchergua,ZAGHOUAN,north,Sale,Land,2026-03-24T10:25:55.786825,new,,,70
67,affare_259050,affare,1050.0,580.0,4.0,Hammamet Sud,NABEUL,north,Sale,Land,2026-03-24T10:26:02.273430,new,,,80
70,affare_259047,affare,1300.0,1200.0,,Sousse Riadh,SOUSSE,east,Sale,Land,2026-03-24T10:26:19.217419,new,,,65
72,affare_259051,affare,2300.0,6714.0,,Grombalia,NABEUL,north,Sale,Land,2026-03-24T10:26:32.736686,new,,,55
71,affare_259049,affare,300000.0,620.0,,Route El Ain,SFAX,east,Sale,Land,2026-03-24T10:26:39.734162,new,,,85
69,affare_259046,affare,410000.0,811.0,,Route El Ain,SFAX,east,Sale,Land,2026-03-24T10:26:52.957815,new,,,85
64,affare_259048,affare,740000.0,400.0,4.0,Hammamet Sud,NABEUL,north,Sale,Land,2026-03-24T10:27:01.219884,new,,,100
45,affare_1737,affare,680000.0,1430.0,,Route El Ain,SFAX,east,Sale,Land,2026-03-24T10:27:17.090513,new,,,85
