month,listing_count,median_price,mean_price,p25_price,p75_price,median_price_per_m2,segment,transaction_type,property_type,region
2026-03-01,14,45000.0,222656.7857142857,,,693.6416184971098,ARIANA,all,all,ARIANA
2026-03-01,428,3400.0,157555.90420560748,,,27.77777777777778,Apartment,all,Apartment,all
2026-03-01,3,880000.0,1294200.0,,,,BEN AROUS,all,all,BEN AROUS
2026-03-01,28,467500.0,590812.1428571428,,,2775.1937984496126,Cap Bon,all,all,Cap Bon
2026-03-01,194,3850.0,97494.59793814433,,,21.09375,Commercial,all,Commercial,all
2026-03-01,312,235750.0,332058.71153846156,,,563.0582751334698,Land,all,Land,all
2026-03-01,18,274500.0,292411.1111111111,,,2396.8253968253966,MAHDIA,all,all,MAHDIA
2026-03-01,46,160000.0,354939.1304347826,,,250.0,NABEUL,all,all,NABEUL
2026-03-01,24,4350.0,83732.5,,,19.11111111111111,Other,all,Other,all
2026-03-01,433,2200.0,10407.131639722864,,,14.60863460863461,Rent,Rent,all,all
2026-03-01,3,410000.0,463333.3333333333,,,483.8709677419355,SFAX,all,all,SFAX
2026-03-01,32,239000.0,270244.34375,,,1000.0,SOUSSE,all,all,SOUSSE
2026-03-01,750,259030.5,316895.38933333335,,,1000.0,Sale,Sale,all,all
2026-03-01,666,8750.0,175416.22372372373,,,33.333333333333336,TUNIS,all,all,TUNIS
2026-03-01,4,4400.0,200200.0,,,,Tunis,all,all,Tunis
2026-03-01,225,5000.0,223191.34666666668,,,30.833333333333336,Villa,all,Villa,all
2026-03-01,11,175000.0,238454.54545454544,,,6.5,ZAGHOUAN,all,all,ZAGHOUAN
2026-03-01,1183,8000.0,204714.98732037193,2000.0,350000.0,170.0,all,all,all,all
2026-03-01,1,450000.0,450000.0,,,1000.0,null,all,all,null
