id,listing_id,region,nature,type,description,price,price_text,date_modified,url,scraped_at,data_quality_score
496,1030201,Bou Mhel,Location,App. 1 pièc,Un appart s1 hst à boum,,850,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10302&rech_cod_loc=1030201,2026-02-16T13:35:37.122776,80.0
497,1012202,Ain Zaghouan,Location,App. 3 pièc,Appartement s2 neuf jama,1900.0,1 900,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10122&rech_cod_loc=1012202,2026-02-16T13:35:37.122776,100.0
498,1020101,Ariana,Bureaux & Commer,Bureau,Cité ennasr bureau 420 d,,420,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020101,2026-02-16T13:35:37.122776,80.0
499,1020115,Cite Ennasr 2,Location,App. 2 pièc,S1 meuble 1200 d ennasr,1200.0,1 200,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020115,2026-02-16T13:35:37.122776,100.0
500,1171512,Soliman,Vente,Maisons,Villa avec pisine à slim,355000.0,355 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11715&rech_cod_loc=1171512,2026-02-16T13:35:37.122776,100.0
489,1012201,Jardins de Cart,Location,App. 1 pièc,Bel appartement meublé suite,1360.0,1 360,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10122&rech_cod_loc=1012201,2026-02-16T13:35:37.121778,100.0
490,1011733,Sidi Daoud,Location,App. 4 pièc,Appartement s3 a la mars,2700.0,2 700,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011733,2026-02-16T13:35:37.121778,100.0
492,1010304,Carthage,Location,Maisons,Villa s4 à carthage avec,6800.0,6 800,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10103&rech_cod_loc=1010304,2026-02-16T13:35:37.121778,100.0
494,1020448,La Soukra,Location,App. 3 pièc,Appartement s2 a la souk,1450.0,1 450,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020448,2026-02-16T13:35:37.121778,100.0
495,1011731,Marsa Erriadh,Location,App. 2 pièc,Rez de chaussée d'une maison,,600,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011731,2026-02-16T13:35:37.121778,80.0
477,1170940,Hammamet,Vente,Maisons,Villa domino,790000.0,790 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11709&rech_cod_loc=1170940,2026-02-16T13:35:37.120869,100.0
478,1020135,Riadh Landlous,Vente,App. 4 pièc,S3 390 md direct promote,390000.0,390 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020135,2026-02-16T13:35:37.120869,100.0
481,1020613,Cite El Ghazala,Vente,App. 4 pièc,S3 355 md ghazela,355000.0,355 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10206&rech_cod_loc=1020613,2026-02-16T13:35:37.120869,100.0
482,1011701,Berge Du Lac,Location,App. 3 pièc,Appart meuble lac2,3900.0,3 900,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011701,2026-02-16T13:35:37.120869,100.0
483,1011732,Marsa Safsaf,Location,Maisons,Villa jumelée cube,8000.0,8 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011732,2026-02-16T13:35:37.120869,100.0
486,1011735,Marsa Ennassim,Location,Maisons,Villa s4 avec piscine co,6000.0,6 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011735,2026-02-16T13:35:37.120869,100.0
487,1030427,Ezzahra,Location,App. 2 pièc,Studio s1 à ezzahra,,131,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10304&rech_cod_loc=1030427,2026-02-16T13:35:37.120869,80.0
488,1011712,Cite Du Stade,Location,App. 4 pièc,Appartement s3 a la mars,3000.0,3 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011712,2026-02-16T13:35:37.120869,100.0
474,1140501,Denden,Location,App. 2 pièc,Studio vides,,400,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11405&rech_cod_loc=1140501,2026-02-16T13:35:29.693450,80.0
465,1091117,Sbikha,Terrain,Terrain nu,Terrain pour habitation,80000.0,80 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10911&rech_cod_loc=1091117,2026-02-16T13:35:29.692456,100.0
467,1020455,Sidi Frej,Location,Surfaces,Un dépôt de 200m2 à la s,1200.0,1 200,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020455,2026-02-16T13:35:29.692456,100.0
468,1031036,Mornag,Terrain,Terrain nu,Hbel terrain,600000.0,600 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10310&rech_cod_loc=1031036,2026-02-16T13:35:29.692456,100.0
469,1020417,Cite De L'Aerop,Location,Surfaces,Un dépôt à la soukra dar fadh,,850,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020417,2026-02-16T13:35:29.692456,80.0
463,1011730,Gammart,Location,Maisons,Villa s4 avec terrasse à,3000.0,3 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011730,2026-02-16T13:35:29.691450,100.0
