id,property_id,source_name,url,type,title,description,price,surface,rooms,region,zone,city,municipalite,latitude,longitude,pdf_link,images,features,scraped_at,last_update,transaction_type,currency,raw_data_path,poi
18,1010813,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010813,App. 3 Pièc,S1 très haut standing me,S1 très haut standing me,1100.0,,,El Menzah 9,,El Menzah 9,,,,,[],"{'price_text': '1 100', 'data_quality_score': 100.0}",2026-02-21 10:02:40.444574,2026-02-20,Rent,TND,,[]
179,1010407,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10104&rech_cod_loc=1010407,Surfaces,Usine et administration,Usine et administration,15000.0,,,El Charguia,,El Charguia,,,,,[],"{'price_text': '15 000', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Rent,TND,,[]
1,1030335,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10303&rech_cod_loc=1030335,App. 3 Pièc,Villa mourouj 6,Villa mourouj 6,750000.0,,,El Mourouj,,El Mourouj,,,,,[],"{'price_text': '750 000', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Sale,TND,,[]
182,1010814,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010814,Maisons,Charmante villa avec jar,Charmante villa avec jar,4000.0,,,Mutuelle Ville,,Mutuelle Ville,,,,,[],"{'price_text': '4 000', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Rent,TND,,[]
180,1030529,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10305&rech_cod_loc=1030529,Surfaces,Ferme à naasseen,Ferme à naasseen,920000.0,,,Naassen,,Naassen,,,,,[],"{'price_text': '920 000', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Sale,TND,,[]
34,1011701,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011701,App. 4 Pièc,Villa haut standing s6,Villa haut standing s6,9500.0,,,Berge Du Lac,,Berge Du Lac,,,,,[],"{'price_text': '9 500', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Rent,TND,,[]
8,1020115,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020115,App. 5 Pièc,S2 près mg enasser2,S2 près mg enasser2,1100.0,,,Cite Ennasr 2,,Cite Ennasr 2,,,,,[],"{'price_text': '1 100', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Rent,TND,,[]
174,1171012,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11710&rech_cod_loc=1171012,Terrain Nu,Terrain de 277 m vue sur,Terrain de 277 m vue sur,90000.0,,,Kelibia,,Kelibia,,,,,[],"{'price_text': '90 000', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Sale,TND,,[]
183,1140103,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11401&rech_cod_loc=1140103,Maisons,Belle villa borj el amri,Belle villa borj el amri,430000.0,,,Borj El Amri,,Borj El Amri,,,,,[],"{'price_text': '430 000', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Sale,TND,,[]
177,1210409,tunisieannonce,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=12104&rech_cod_loc=1210409,App. 3 Pièc,S2 a rue sidi kantao,S2 a rue sidi kantao,580000.0,,,El Kantaoui,,El Kantaoui,,,,,[],"{'price_text': '580 000', 'data_quality_score': 100.0}",2026-02-21 10:02:40.443482,2026-02-20,Sale,TND,,[]
