"lat","lon","radius","data","cached_at"
"36.7667","10.1833","750","[{""name"": ""\u0645\u062d\u0645\u062f \u0639\u0644\u064a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0637\u0627\u0647\u0631 \u062d\u062f\u0627\u062f"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0645\u0642\u0647\u064a \u0644\u064a\u0642\u0627"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0634\u0631\u0643\u0629 \u0627\u0644\u0644\u062d\u0648\u0645 \u062a\u0648\u0646\u0633 \u0628\u0627\u0637\u0648\u0627\u0631"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Parc des Princes"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Soci\u00e9t\u00e9 Amen Service"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""FRUITS IBNE SINA"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Poissons Royal"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Moulin Rouge"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u062d\u0645\u062f \u0639\u0644\u064a"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 12:24:31"
"36.8775","10.3275","750","[{""name"": ""\u0645\u0637\u0639\u0645 \u0627\u0644\u062e\u0644\u064a\u062c"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0645\u0644\u0648\u0644\u064a"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Atmosp'hair"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""ChoPain"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Librairie Al Kitab"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Studio Salim"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Spec's Optic"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Cafe Malaga"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Librairie Clairefontaine"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Superette"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 13:25:13"
"35.6756","10.3106","750","[{""name"": ""SIDI HANI"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 13:25:15"
"36.8557","10.2558","750","[{""name"": ""Boulangerie P\u00e2tisserie Bhar"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Yagouta"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u0648\u0646\u0648\u0628\u0631\u064a"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Coiffeur Chez Karim"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Mosai"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u062e\u0628\u0632\u0629 \u0645\u0631\u0637\u0628\u0627\u062a"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Restaurant NasrALLAH"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Superette Karim"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""L'entracte"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Salsa"", ""category"": ""restaurant"", ""distance_m"": null}]","2026-03-23 13:25:42"
"33.8439","9.4001","750","[]","2026-03-23 15:26:01"
"36.8648","10.1021","750","[]","2026-03-23 15:26:05"
"36.8279","10.0896","750","[{""name"": ""Caf\u00e9 Bokhtiwa"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""El FLAYESS"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Monoprix Express"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Pharmacie du nuit"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Coiffure,Anis Sanaaoun"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0623\u0637\u0627\u0631"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""quincaillerie selmani"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0623\u0637\u0627\u0631"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0639\u0632\u064a\u0632\u0629"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""MHiRSi"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 15:26:29"
"36.8763","10.2582","750","[{""name"": ""\u062c\u0627\u0645\u0639 \u0633\u064a\u062f\u064a \u0641\u0631\u062c"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0633\u0643\u0631\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""P\u00e9pinni\u00e8re"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 15:27:01"
"36.6","10.5","750","[{""name"": ""Caf\u00e9 Maaouia"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Saliba"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Restaurant Fourguita"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Cafe L'accacia"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Terrasse Grombalia"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Beaux-arts"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Bilel"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Mellasine"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""La Libert\u00e9"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Savana"", ""category"": ""restaurant"", ""distance_m"": null}]","2026-03-23 15:27:06"
"36.8093","10.0863","750","[{""name"": ""\u0623\u0648\u0631\u064a\u062f\u0648 \u062a\u0648\u0646\u0633"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0645\u0639\u0647\u062f \u062d\u0645\u0648\u062f\u0629 \u0628\u0627\u0634\u0627"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0645\u0646\u0635\u0641 \u0628\u0627\u064a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0623\u0628\u0648 \u0628\u0643\u0631 \u0627\u0644\u0631\u0627\u0632\u064a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0623\u0628\u0648 \u0628\u0643\u0631 \u0627\u0644\u0631\u0627\u0632\u064a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0645\u0646\u0635\u0641 \u0628\u0627\u064a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0645\u0646\u0635\u0641 \u0628\u0627\u064a"", ""category"": ""transport"", ""distance_m"": null}, {""name"": ""\u0623\u0628\u0648 \u0628\u0643\u0631 \u0627\u0644\u0631\u0627\u0632\u064a"", ""category"": ""transport"", ""distance_m"": null}, {""name"": ""\u062c\u0627\u0645\u0639 \u0645\u0646\u0648\u0628\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0631\u0627\u0632\u064a 104-410-460"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 15:27:28"
