"lat","lon","radius","data","cached_at"
"36.7667","10.1833","750","[{""name"": ""\u0645\u062d\u0645\u062f \u0639\u0644\u064a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0637\u0627\u0647\u0631 \u062d\u062f\u0627\u062f"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0645\u0642\u0647\u064a \u0644\u064a\u0642\u0627"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0634\u0631\u0643\u0629 \u0627\u0644\u0644\u062d\u0648\u0645 \u062a\u0648\u0646\u0633 \u0628\u0627\u0637\u0648\u0627\u0631"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Parc des Princes"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Soci\u00e9t\u00e9 Amen Service"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""FRUITS IBNE SINA"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Poissons Royal"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Moulin Rouge"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u062d\u0645\u062f \u0639\u0644\u064a"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 12:12:44"
"36.8775","10.3275","750","[{""name"": ""\u0645\u0637\u0639\u0645 \u0627\u0644\u062e\u0644\u064a\u062c"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0645\u0644\u0648\u0644\u064a"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Atmosp'hair"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""ChoPain"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Librairie Al Kitab"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Studio Salim"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Spec's Optic"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Cafe Malaga"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Librairie Clairefontaine"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Superette"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 13:16:25"
"36.8852","10.2453","750","[{""name"": ""Golf de Carthage"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""3 \u0634\u0637\u0631\u0627\u0646\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0634\u0637\u0631\u0627\u0646\u0629 2"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0642\u0646\u0627\u0629 \u062d\u0646\u0628\u0639\u0644"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0646\u0627\u062f\u064a \u0627\u0644\u0645\u062d\u0627\u0645\u064a\u0646"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0646\u0627\u062f\u064a \u0627\u0644\u062d\u0631\u0633 \u0627\u0644\u0648\u0637\u0646\u064a"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 13:16:58"
"33.8439","9.4001","750","[]","2026-03-23 14:06:14"
"36.8736","10.2721","750","[{""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0644\u064a\u0644"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""\u0643\u0627\u0631\u0641\u0648\u0631 \u0625\u0643\u0633\u0628\u0631\u064a\u0633"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0645\u0646\u062a\u0632\u0647 \u0633\u0643\u0631\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0644\u064a\u0644"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u062c\u0627\u0645\u0639 \u0633\u064a\u062f\u064a \u0641\u0631\u062c"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 14:06:18"
"36.743","10.308","750","[{""name"": ""Boulangerie D\u00e2ad\u00e2a"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Magasin G\u00e9n\u00e9ral - MG;Magasin g\u00e9n\u00e9ral MG"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Pharmacie Wassila Chaabane EP Mhiri"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Librairie Le Bosphore"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0644\u064a\u0644"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Boutique Orange"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Pharmacie Sawsen Bouhejba Ep Fourati"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Pharmacie Fatma Boussoffara EP Larbi"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Pharmacie Sonia Ben Slimane EP Jemaa"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Pharmacie Bouassida"", ""category"": ""hospital"", ""distance_m"": null}]","2026-03-23 14:07:04"
"36.8528","10.1703","750","[{""name"": ""Coll\u00e8ge d'El Menzah 6"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Centre Commerciale Menzah 6"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0645\u063a\u0627\u0632\u0629 \u0627\u0644\u0639\u0627\u0645\u0629"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0645\u062f\u0631\u0633\u0629 \u0627\u0644\u0625\u0628\u062a\u062f\u0627\u0626\u064a\u0629"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Chams"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Fakhr Eddine"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Trait d'union"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0625\u0643\u0631\u0627\u0645"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0634\u0648\u0632 \u0633\u0646\u062a\u0631"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Pharmacie Sana Ghroubi Ep. Chaabane"", ""category"": ""hospital"", ""distance_m"": null}]","2026-03-23 14:07:28"
"35.9397","10.5548","750","[{""name"": ""Jaidane Mourad"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""H\u00f4pital Chatt Mariem vers sousse"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Ecole Chatt Mariem vers Sousse"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Mosqu\u00e9e Chatt Mariem vers Sousse"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""H\u00f4pital Chatt Mariem vers hergla"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Ecole Chatt Mariem Vers Hergla"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Mosqu\u00e9e Chatt Mariem vers hergla"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 14:07:36"
"36.8279","10.0896","750","[{""name"": ""Caf\u00e9 Bokhtiwa"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""El FLAYESS"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Monoprix Express"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Pharmacie du nuit"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Coiffure,Anis Sanaaoun"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0623\u0637\u0627\u0631"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""quincaillerie selmani"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0623\u0637\u0627\u0631"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0639\u0632\u064a\u0632\u0629"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""MHiRSi"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:08:26"
"36.4","10.6167","750","[{""name"": ""\u0627\u0644\u0628\u0631\u0628\u0631"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Le P\u00eacheur"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Boulangerie Omar Fnina"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Peugeot Scooters"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Pharmacie Hthemi Hdidane Akacha"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""\u0639\u0632\u064a\u0632\u0629"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""ZEN"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Mercerie et fournitures de costumes traditionnels espace Nadia"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0645\u0642\u0647\u0649 \u0633\u064a\u062f\u064a \u0628\u0648\u062d\u062f\u064a\u062f"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0644\u0627 \u0631\u0627\u0645\u0628\u0644\u0627"", ""category"": ""restaurant"", ""distance_m"": null}]","2026-03-23 14:08:39"
"36.8791","10.2656","750","[{""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0644\u064a\u0644"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0644\u064a\u0644"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u062c\u0627\u0645\u0639 \u0633\u064a\u062f\u064a \u0641\u0631\u062c"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0633\u0643\u0631\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""P\u00e9pinni\u00e8re"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:08:51"
"36.8763","10.2582","750","[{""name"": ""\u062c\u0627\u0645\u0639 \u0633\u064a\u062f\u064a \u0641\u0631\u062c"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0633\u0643\u0631\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""P\u00e9pinni\u00e8re"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:09:48"
