id,listing_id,source_name,price,surface,rooms,city,region,zone,transaction_type,property_type,scraped_at,change_type,price_delta,price_delta_pct,reliability_score
1,affare_212272,affare,1.0,,1,,,,Rent,Apartment,2026-03-23T06:23:11.138487,new,,,10
2,affare_140145,affare,140145.0,,,Tunis,TUNIS,north,Sale,Other,2026-03-23T16:27:49.648324,new,,,65
3,affare_202996,affare,360.0,360.0,5,,,,Rent,Commercial,2026-03-23T06:39:37.239111,new,,,60
4,affare_213056,affare,471.0,471.0,2,,,,Rent,Commercial,2026-03-23T06:57:58.774371,new,,,60
5,affare_186134,affare,2.0,,2,Soukra Parc,,,Sale,Apartment,2026-03-23T06:34:26.428517,new,,,50
6,affare_209759,affare,2.0,60.0,3,,,,Sale,Apartment,2026-03-23T16:26:28.093596,new,,,50
7,affare_140219,affare,2.0,,2,Tunis La Soukra 85 D/J,TUNIS,north,Sale,Apartment,2026-03-21T10:27:52.236268,new,,,60
8,affare_1700,affare,1700.0,1700.0,5,,,,Rent,Commercial,2026-03-22T16:43:27.498206,new,,,60
9,affare_154525,affare,2.0,80.0,3,,,,Sale,Villa,2026-03-23T16:26:07.746313,new,,,50
10,affare_195701,affare,1.0,430.0,4,Elmenza1,,,Sale,Villa,2026-03-21T10:28:07.259853,new,,,50
11,affare_238972,affare,2.0,98.0,2,La Marsa,TUNIS,north,Sale,Apartment,2026-03-23T16:25:28.889199,new,,,75
12,affare_245138,affare,3.0,2150.0,5,,,,Rent,Commercial,2026-03-23T06:36:45.448290,new,,,50
13,affare_246045,affare,246045.0,500.0,,Gammarth Supérieur,,,Sale,Land,2026-03-23T16:25:37.427166,new,,,70
14,affare_2300,affare,2300.0,2300.0,,,,,Rent,Commercial,2026-03-23T06:56:11.213359,new,,,25
15,affare_231619,affare,2.0,80.0,3,,,,Sale,Apartment,2026-03-23T16:26:39.366000,new,,,50
16,affare_235016,affare,1.0,,1,,,,Rent,Apartment,2026-03-23T06:44:15.479958,new,,,10
17,affare_231944,affare,231944.0,700.0,10,Mnihla,,,Sale,Land,2026-03-23T06:52:52.562756,new,,,85
18,affare_219916,affare,5.0,200.0,,,,,Rent,Commercial,2026-03-22T16:44:19.260283,new,,,15
19,affare_233390,affare,4082.0,408.0,,,,,Sale,Land,2026-03-23T16:26:16.282286,new,,,10
20,affare_246401,affare,246401.0,250.0,,Douikhla Prix Imbattable,,,Sale,Land,2026-03-23T16:27:13.497734,new,,,55
21,affare_250596,affare,3.0,147.0,3,Vendre,,,Sale,Apartment,2026-03-23T06:50:09.564491,new,,,65
22,affare_246809,affare,2.0,,4,,,,Rent,Apartment,2026-03-23T06:21:55.218075,new,,,10
23,affare_248330,affare,8.0,,,Ezzahra,,,Sale,Land,2026-03-23T06:38:13.821599,new,,,10
24,affare_251654,affare,251654.0,249.0,,,,,Sale,Land,2026-03-23T16:27:16.818325,new,,,30
25,affare_246565,affare,1.0,160.0,4,El Menzah1,,,Rent,Land,2026-03-21T10:28:12.080656,new,,,60
26,affare_246872,affare,4.0,,4,L'Année,,,Rent,Apartment,2026-03-21T10:28:03.904059,new,,,35
27,affare_249366,affare,760.0,760.0,1,Alain Savary,,,Rent,Commercial,2026-03-23T06:55:04.548376,new,,,75
28,affare_247443,affare,2.0,,4,,,,Rent,Apartment,2026-03-21T15:59:16.774967,new,,,10
