"change_type","city","currency","description","features","has_price_history","image_count","images","is_outlier","last_update","latitude","longitude","model_weight","municipalite","normalized","outlier_flags","poi","property_id","region","reliability_level","reliability_score","rooms","scraped_at","should_drop","source_name","surface","suspected_duplicate","title","transaction_type","type","url","zone","_id","id","price","nlp_enriched","nlp_filled_fields","price_delta","price_delta_pct","price_per_m2","canonical_id"
"unchanged","Monastir","TND","DescriptionAgence Les Arcades met en location 🔑 pour des courtes durée un magnifique appartement très haut standing  🔝🌟de type s+2 ,situé dans une résidence à la falaise de Monastir prés complexe touristique Marina .Vite réserver votre séjour👉pour plus d'informations contacter notre Agence:🤗☎ (00 216 )24 87 24 87 / (00 216) 99 090 006☎💡📧 mail: agencelesarcadesimmo@gmail.com","[""Ascenseur"", ""Parking""]","True","15.0","[""https://www.affare.tn/image/11_2024_8729b8a3.JPG"", ""https://www.affare.tn/image/11_2024_5e25a543.JPG"", ""https://www.affare.tn/image/11_2024_8218325c.JPG"", ""https://www.affare.tn/image/11_2024_8729b8a3.JPG"", ""https://www.affare.tn/image/11_2024_5e25a543.JPG"", ""https://www.affare.tn/image/11_2024_8218325c.JPG"", ""https://www.affare.tn/image/11_2024_69c052b0.JPG"", ""https://www.affare.tn/image/11_2024_696f878b.JPG"", ""https://www.affare.tn/image/11_2024_b403cd25.JPG"", ""https://www.affare.tn/image/11_2024_a279c754.JPG"", ""https://www.affare.tn/image/11_2024_98464937.JPG"", ""https://www.affare.tn/image/11_2024_e5ad7401.JPG"", ""https://www.affare.tn/image/11_2024_8b4296a6.JPG"", ""https://www.affare.tn/image/11_2024_b146bf90.JPG"", ""https://www.affare.tn/image/11_2024_b8782e8d.JPG""]","False","2026-04-06T18:44:22.792964Z","35.7644","10.8","1.5","Monastir","True","[]","[""Café El Majless"", ""Café El Majless"", ""Restaurante Universitário"", ""IPEIM"", ""ENIM"", ""Millenium"", ""cafe del castello"", ""Campus Universitaire Skanes Monastir"", ""كلية العلوم بالمنستير"", ""مركز طب الولدان و التوليد بالمنستير""]","affare_226648","MONASTIR","HIGH","90.0","2.0","2026-03-27T11:13:31.652495","False","affare","90.0","False","A Louer pour les vacances :","Rent","Apartment","https://www.affare.tn/annonce/a-louer-pour-les-vacances-226648","east","affare:affare_226648","","","","","","","",""
"","","TND","DescriptionAvec TITRE INDIVIDUEL, à vendre étage de villa ,de 160 m2 .avec jardin ,au total 430 m2,prix 3Md Négociable Tél : 22597361","[""430 m2"", ""jardin""]","","10.0","[""https://www.affare.tn/image/11_2023_cbc424e4.JPG"", ""https://www.affare.tn/image/11_2023_320eab42.JPG"", ""https://www.affare.tn/image/11_2023_a3c56d05.JPG"", ""https://www.affare.tn/image/11_2023_cbc424e4.JPG"", ""https://www.affare.tn/image/11_2023_320eab42.JPG"", ""https://www.affare.tn/image/11_2023_a3c56d05.JPG"", ""https://www.affare.tn/image/11_2023_25d012b7.JPG"", ""https://www.affare.tn/image/11_2023_a63b777c.JPG"", ""https://www.affare.tn/image/03_2024_d216a672.JPG"", ""https://www.affare.tn/image/07_2024_47bcabc7.JPG""]","","2026-04-09T09:23:12.088260","33.8439408","9.400138","","","","","[]","affare_195701","","","","3.0","2026-04-09T09:23:04.401719","","affare","430.0","","Etage de villa à elmenza1","Sale","Villa","https://www.affare.tn/annonce/un-etagede-villa-terrain-a-el-menzah-1-195701","","affare:affare_195701","affare:affare_195701","1290.0","","","","","",""
"unchanged","Bir Mchergua","TND","Descriptionchez l’agence immobiliere harabi met a vendreune agréable ferme d’une superficie totale de 7 hectaresau plaines de boucha aux confins des gouvernorats zaghouan et béja à 48km de tunis sur la route goudronnée, culturé, continent 1500 oliviers karonayki et 500 arbres variés orties amandiers figuiers orangerspuit d'eau avec moteur électrique 5.5 chevaux débit 3l s , salinité 1.7g et conteur steg subventionné .équipé de diverses machines agricoles tracteur et charrue et irrigation goutte à goutte avec les vannes.réseaux : steg 4 compteurs sonede 2 compteursavec une villa haute standing 250m2 équipée d'une magnifique terrasse, maison de gardien, un dépôt 400m2 , ecouri , poulaillerpapier en règle.prix: 1500000dt à discuter.pour profiter cette offre et pour plus d’information :contactez: mr harabi alitel: 22516198whatsapp (216) 55357150visite sur rdv a l'avancerue habib bourguiba birmchergua 1141première visite 30 dt et le reste des visites sont gratuites ,beaucoup d' autre offres sont disponibles :des terrain agricole , industriel , des terrain de lotissement ,de loisir et des villas","[""7 hectares"", ""arbres variés"", ""charrue"", ""drop irrigation"", ""farm"", ""guard house"", ""haut standing"", ""high standing villa"", ""irrigation"", ""machines agricultural"", ""motorized water well"", ""oliviers"", ""paper in order"", ""pigeon coop"", ""salinité 1.7g"", ""shed"", ""subventionned meter"", ""terrace"", ""terrasse"", ""tractor"", ""villa"", ""water well""]","True","18.0","[""https://www.affare.tn/image/03_2023_e9f8c84c.JPG"", ""https://www.affare.tn/image/03_2023_b758be68.JPG"", ""https://www.affare.tn/image/03_2023_04124b36.JPG"", ""https://www.affare.tn/image/03_2023_e9f8c84c.JPG"", ""https://www.affare.tn/image/03_2023_b758be68.JPG"", ""https://www.affare.tn/image/03_2023_04124b36.JPG"", ""https://www.affare.tn/image/03_2023_7b312a14.JPG"", ""https://www.affare.tn/image/03_2023_234a6ac0.JPG"", ""https://www.affare.tn/image/03_2023_9dd9b154.JPG"", ""https://www.affare.tn/image/03_2023_6d86de82.JPG"", ""https://www.affare.tn/image/03_2023_42bf2159.JPG"", ""https://www.affare.tn/image/03_2023_f85159f5.JPG"", ""https://www.affare.tn/image/03_2023_632c2dec.JPG"", ""https://www.affare.tn/image/03_2023_e64b778b.JPG"", ""https://www.affare.tn/image/03_2023_50dee8fc.JPG"", ""https://www.affare.tn/image/03_2023_af1f6a38.JPG"", ""https://www.affare.tn/image/03_2023_56e76f53.JPG"", ""https://www.affare.tn/image/03_2023_be7c671f.JPG""]","True","2026-04-06T18:44:22.792964Z","36.4025","10.1431","0.5","Zaghouan","True","[""price_too_low""]","[""المدرسة الإعدادية شارع الاستقلال"", ""لاجوكندا"", ""كروة"", ""ناينتيز"", ""المدرسة الابتدائية ابن خلدون"", ""إم جي بركسي"", ""كارفور إكسبريس"", ""ميلانو"", ""Station de Louages Zaghouan"", ""الكهف""]","affare_164918","ZAGHOUAN","LOW","45.0","","2026-03-27T00:38:38.690187","False","affare","","False","Exclusivitétres belle ferme 7h","Sale","Land","https://www.affare.tn/annonce/exclusivitetres-belle-ferme-7h-164918","north","affare:affare_164918","","1500.0","True","[""surface""]","0.0","0.0","",""
"unchanged","Bizerte Nord","TND","DescriptionMahjoub met à la vente un terrain située dans un bon emplacement , à La Groutte , Bizerte.Vue panoramique sur La plage de la GrotteSuperficie : 1000 m²Situation juridique : Titre Foncier individuelPrix de vente : 550 DT/m² (TND) .Contacter-nous pour plus D’informations : 0021697764800Merci de nous contacter au WhatsApp (+216)97764800Visite sur rdv à l'avanceVisite payante 50 dinarsBienvenue et merci","[""plage"", ""superficie"", ""terrain"", ""vue panoramique""]","True","7.0","[""https://www.affare.tn/image/03_2026_c8af374f.JPG"", ""https://www.affare.tn/image/03_2026_dbe33939.JPG"", ""https://www.affare.tn/image/03_2026_765a11e5.JPG"", ""https://www.affare.tn/image/03_2026_c8af374f.JPG"", ""https://www.affare.tn/image/03_2026_dbe33939.JPG"", ""https://www.affare.tn/image/03_2026_765a11e5.JPG"", ""https://www.affare.tn/image/03_2026_65727421.JPG""]","True","2026-04-06T18:44:22.792964Z","37.2803","9.8205","1.5","Bizerte Nord","True","[""price_too_low"", ""price_m2_too_low""]","[]","affare_1000","BIZERTE","HIGH","85.0","","2026-03-27T11:16:21.832237","False","affare","1000.0","False","Terrain à vendre 1000 m²","Sale","Land","https://www.affare.tn/annonce/terrain-a-vendre-1000-m-258967","north","affare:affare_1000","","550.0","True","[""price""]","0.0","0.0","0.55",""
"unchanged","Sfax Ville","TND","Descriptionvilla avec jardin sur ses 4 cotes et située à la route kaid mhamed km 1,5 est mise en location pour une longue durée en vue d'une activité commerciale. la villa est spacieuse, située dans un emplacement très calme et proche du centre ville (elle fait 410 m2 de couvert sur un terrain de 661 m2), et de plus elle fait le coin de 3 rues, donc totalement libre des 3 côtés.villa convient pour un projet médical (exemple, centre d'hémodialyse, ou relais de pharmacie, etc.) ou project educatif (creche, jardin d'enfants, centre de formation, etc.) ou autre projet commercial. pour se renseigner, prière d'appeler le numero portable: 98 60 96 80 (mr. ahmed) ou me contacter par email sur ce site, et je vous répondrai inchallah1..","[""4 cotes"", ""410 m2 de couvert"", ""661 m2"", ""centre ville"", ""coin de 3 rues"", ""jardin"", ""project educatif"", ""projet commercial"", ""projet médical"", ""terrain"", ""villa""]","True","8.0","[""https://www.affare.tn/image/10_2022_265d6818.JPG"", ""https://www.affare.tn/image/10_2022_3c1853ca.JPG"", ""https://www.affare.tn/image/07_2025_94714227.JPG"", ""https://www.affare.tn/image/10_2022_265d6818.JPG"", ""https://www.affare.tn/image/10_2022_3c1853ca.JPG"", ""https://www.affare.tn/image/07_2025_94714227.JPG"", ""https://www.affare.tn/image/07_2025_837019b3.JPG"", ""https://www.affare.tn/image/07_2025_d0d2bddb.JPG""]","True","2026-04-06T18:44:22.792964Z","34.7406","10.76","1.0","Sfax Ville","True","[""price_too_low"", ""price_m2_too_low""]","[]","affare_146110","SFAX","GOOD","80.0","","2026-03-27T11:14:40.395781","False","affare","660.0","False","Villa spacieuse pour projet medical ou educatif ou autre","Sale","Land","https://www.affare.tn/annonce/villa-spacieuse-pour-projet-medical-ou-educatif-ou-autre-146110","east","affare:affare_146110","","2500.0","","","0.0","0.0","3.79",""
"unchanged","","TND","Descriptionnous vous proposons à la location un bureau haut standing jamais habité situé dans un immeuble bureautique au lac 3 ,surface de 1700 m² en open space . il présente les caractéristiques suivantes:openspace1700 m²vue lactoiletteskitchenetteaccés par gp9 ou route tunis-marineorientation sud estproximités des cafés et restaurants10 min de station de tgmparkingprix : 34000 dt/ht/moispour plus d'info veuillez rappeler notre agence au51603900/99603906/51614130","[""accés par gp9 ou route tunis-marine"", ""haut standing"", ""kitchenette"", ""meuble"", ""open space"", ""orientation sud est"", ""parking"", ""proximités des cafés et restaurants"", ""vue""]","True","8.0","[""https://www.affare.tn/image/03_2025_89f4f364.JPG"", ""https://www.affare.tn/image/03_2025_a7eac662.JPG"", ""https://www.affare.tn/image/03_2025_f9e5433d.JPG"", ""https://www.affare.tn/image/03_2025_89f4f364.JPG"", ""https://www.affare.tn/image/03_2025_a7eac662.JPG"", ""https://www.affare.tn/image/03_2025_f9e5433d.JPG"", ""https://www.affare.tn/image/03_2025_41252605.JPG"", ""https://www.affare.tn/image/03_2025_2ed619ec.JPG""]","True","2026-04-06T18:44:22.792964Z","33.8439408","9.400138","0.5","","","[""price_m2_too_low""]","[]","affare_1700","","LOW","30.0","","2026-04-06T08:17:03.819645","False","affare","1700.0","False","Super bureau 1700m² au lac 3 kram","Sale","Commercial","https://www.affare.tn/annonce/super-bureau-1700m-au-lac-3-kram-234819","","affare:affare_1700","","34000.0","","","0.0","0.0","20.0",""
"unchanged","Bir Mchergua","TND","DescriptionA vendre, 2 hectares  nu, plat,  un terrain à 36 km de Tunis a Ain El Asker, sur route goudronnée, à proximité du réseau d'eau et d'électricitéPrix : 155000 dinars, négociable.pour profiter cette offre et pour plus d’information :contactez: mr harabi alitel: 22516198whatsapp (216) 55357150visite sur rdv a l'avancerue habib bourguiba birmchergua 1141première visite 30 dt et le reste des visites sont gratuites ,beaucoup d' autres offres sont disponibles :des terrains agricoles , industriels , des terrains de lotissement ,de loisir et des villas","[""nu"", ""plat"", ""proximité de l'électricité"", ""proximité du réseau d'eau"", ""route goudronnée""]","True","6.0","[""https://www.affare.tn/image/09_2024_d0bdd3c9.JPG"", ""https://www.affare.tn/image/09_2024_b43c25f5.JPG"", ""https://www.affare.tn/image/09_2024_c2a8db12.JPG"", ""https://www.affare.tn/image/09_2024_d0bdd3c9.JPG"", ""https://www.affare.tn/image/09_2024_b43c25f5.JPG"", ""https://www.affare.tn/image/09_2024_c2a8db12.JPG""]","False","2026-04-06T18:44:22.792964Z","36.4025","10.1431","1.0","Zaghouan","True","[]","[""المدرسة الإعدادية شارع الاستقلال"", ""لاجوكندا"", ""كروة"", ""ناينتيز"", ""المدرسة الابتدائية ابن خلدون"", ""إم جي بركسي"", ""كارفور إكسبريس"", ""ميلانو"", ""Station de Louages Zaghouan"", ""الكهف""]","affare_220450","ZAGHOUAN","GOOD","60.0","","2026-03-27T00:39:17.551397","False","affare","","False","2 hectares nu a 36 km de Tunis","Sale","Land","https://www.affare.tn/annonce/2-hectares-nu-a-36-km-de-tunis-220450","north","affare:affare_220450","","155000.0","","","0.0","0.0","",""
"","","TND","DescriptionVend terrain à Hammamet sud de 312 m²,semi clôturé,à 1,7km de hammamet sud et à 5 min de la plage,eau et électricité disponible dans toute la zone,avec titre foncier,tel WhatsApp :+21692341915.","[]","","7.0","[""https://www.affare.tn/image/10_2024_ae338e98.JPG"", ""https://www.affare.tn/image/10_2024_64f5d1fe.JPG"", ""https://www.affare.tn/image/10_2024_4d281a79.JPG"", ""https://www.affare.tn/image/10_2024_ae338e98.JPG"", ""https://www.affare.tn/image/10_2024_64f5d1fe.JPG"", ""https://www.affare.tn/image/10_2024_4d281a79.JPG"", ""https://www.affare.tn/image/10_2024_8f9b7f22.JPG""]","","2026-04-09T10:47:49.006951","33.8439408","9.400138","","","","","[]","affare_223096","","","","","2026-04-09T10:47:44.239064","","affare","312.0","","Vend terrain à Hammamet sud","Sale","Land","https://www.affare.tn/annonce/vend-terrain-a-hammamet-sud-223096","","affare:affare_223096","affare:affare_223096","78000.0","","","","","",""
"unchanged","Sfax Ville","TND","DescriptionVilla avec jardin de ses 4 cotés située à la route kaid mhamed km 1,5 est mise en location pour une longue durée en vue d'une activité commerciale. la villa est spacieuse, située dans un emplacement très calme et proche du centre ville (elle fait 410 m2 de couvert sur un terrain de 661 m2), et de plus elle fait le coin de 3 rues, donc totalement libre des 3 côtés, compteur eléctricité force est aussi disponible.villa convient pour un projet éducatif (exemple, jardin d'enfants ou créche ou centre scolaire privé) ou médical (centre dialyse, relais de pharmacie, etc..) ou autre projet. pour se renseigner, prière d'appeler le numero portable: 98 60 96 80 (Mr. Ahmed) ou me contacter par email sur ce site, et je vous répondrai inchallah 2..","[""3 rues"", ""compteur Electricté force"", ""jardin"", ""jardin de ses 4 cotés"", ""terrain de 661 m2""]","True","7.0","[""https://www.affare.tn/image/07_2022_540f8d32.JPG"", ""https://www.affare.tn/image/07_2025_7866f7f1.JPG"", ""https://www.affare.tn/image/07_2025_e08ea51b.JPG"", ""https://www.affare.tn/image/07_2022_540f8d32.JPG"", ""https://www.affare.tn/image/07_2025_7866f7f1.JPG"", ""https://www.affare.tn/image/07_2025_e08ea51b.JPG"", ""https://www.affare.tn/image/07_2025_7d24ad61.JPG""]","True","2026-04-06T18:44:22.792964Z","34.7406","10.76","1.5","Sfax Ville","True","[""price_too_low"", ""price_m2_too_low""]","[""صفاقس 2000"", ""Espace Er-Ribat"", ""مونوبري"", ""سيدي منصور"", ""مصحة الزيتونة"", ""السلطنية"", ""مطعم الزيتونة"", ""Station El Karia"", ""ساقية الدائر"", ""القطب التكنولوجي""]","affare_136985","SFAX","HIGH","90.0","7.0","2026-03-27T11:14:57.776841","False","affare","661.0","False","VILLA SPACIEUSE A KAID MHAMED KM 1,5 POUR ACTIVITE COMMERCIA","Sale","Land","https://www.affare.tn/annonce/villa-spacieuse-a-kaid-mhamed-km-1-5-pour-activite-commercia-136985","east","affare:affare_136985","","2500.0","","","0.0","0.0","3.78",""
"new","","TND","DescriptionMahjoub met en vente Une Villa De 4 Niveaux Située à Beni Ismaïl El Kharouba, Bizerte emplacement idéale dans une zone calme avec un bon entourage.superficie terrain 202m²Prix de vente : 430 mille dinarssituation juridique : Titre foncier individuelContacter-nous pour plus d’informations 📞+21697764800Merci de nous contacter au WhatsApp(+216)97764800","[""calm area"", ""four levels"", ""good entourage"", ""terrain"", ""villa""]","False","1.0","[""https://www.affare.tn/image/11_2024_a42901e2.JPG""]","True","2026-04-06T18:44:22.792964Z","33.8439408","9.400138","0.0","","","[""price_too_low"", ""price_m2_too_low""]","[]","affare_226855","","DROP","20.0","","2026-04-06T08:20:06.964392","True","affare","202.0","False","A Vendre Une Villa De quatre Niveaux à bizerte sud","Sale","Land","https://www.affare.tn/annonce/a-vendre-une-villa-de-quatre-niveaux-a-bizerte-sud-226855","","affare:affare_226855","","430.0","","","","","2.13",""
